X,Y,Z,Prefab,Projector,Filler
0.93079,0,-1.0446,tar,P1,NaN
0.42636,0,-1.2092,tar,P1,NaN
0.65603,0,-1.0885,tar,P1,NaN
0.70453,0,-1.4175,tar,P1,NaN
0.10459,0,-1.0561,tar,P1,NaN
0.28276,0,-0.70627,tar,P1,NaN
0.35217,0,-0.95944,tar,P1,NaN
0.31897,0,-1.6438,tar,P1,NaN
0.86062,0,-1.6724,tar,P1,NaN
0.5221,0,-0.60314,tar,P1,NaN
0.07591,0,-1.4238,tar,P1,NaN
1.0196,0,-0.63467,tar,P1,NaN
0.22911,0,-0.01464,tar,P1,NaN
0.87712,0,-0.058742,tar,P1,NaN
0.87035,0,-0.39909,tar,P1,NaN
0.89922,0,0.65531,tar,P1,NaN
0.096715,0,0.43173,tar,P1,NaN
0.88267,0,0.2166,tar,P1,NaN
0.44158,0,0.45636,tar,P1,NaN
0.59374,0,-0.16775,tar,P1,NaN
0.087751,0,-0.34595,tar,P1,NaN
0.64914,0,0.64176,tar,P1,NaN
0.33926,0,-0.44636,tar,P1,NaN
0.51873,0,0.10279,tar,P1,NaN
0.96595,0,1.647,tar,P1,NaN
0.93336,0,1.186,tar,P1,NaN
0.29299,0,0.9799,tar,P1,NaN
0.098665,0,1.7518,tar,P1,NaN
0.83178,0,0.89358,tar,P1,NaN
0.64834,0,1.8477,tar,P1,NaN
0.13531,0,1.3943,tar,P1,NaN
0.39876,0,1.2768,tar,P1,NaN
0.39802,0,1.677,tar,P1,NaN
0.70224,0,1.3622,tar,P1,NaN
0.49652,0,0.80582,tar,P1,NaN
0.074694,0,1.1267,tar,P1,NaN
-0.8324,0,1.501,tar,P1,NaN
-0.43993,0,0.91019,tar,P1,NaN
-0.17733,0,0.90673,tar,P1,NaN
-0.45407,0,1.8828,tar,P1,NaN
-0.42309,0,1.1862,tar,P1,NaN
-0.19361,0,1.74,tar,P1,NaN
-0.8695,0,1.1022,tar,P1,NaN
-0.70525,0,1.7174,tar,P1,NaN
-0.11616,0,1.2318,tar,P1,NaN
-0.91485,0,1.8751,tar,P1,NaN
-0.33405,0,1.5127,tar,P1,NaN
-0.66707,0,1.2589,tar,P1,NaN
-0.19477,0,0.056957,tar,P1,NaN
-0.61294,0,-0.018832,tar,P1,NaN
-0.92343,0,-0.23719,tar,P1,NaN
-0.5727,0,0.52048,tar,P1,NaN
-0.42947,0,-0.23843,tar,P1,NaN
-1.0201,0,0.55745,tar,P1,NaN
-0.098658,0,-0.33807,tar,P1,NaN
-0.71006,0,0.21694,tar,P1,NaN
-0.28062,0,0.5366,tar,P1,NaN
-0.65631,0,-0.40395,tar,P1,NaN
-0.8907,0,0.038309,tar,P1,NaN
-0.94562,0,0.31878,tar,P1,NaN
-0.60433,0,-1.4744,tar,P1,NaN
-0.15213,0,-1.6943,tar,P1,NaN
-0.90561,0,-0.64815,tar,P1,NaN
-0.74604,0,-1.1157,tar,P1,NaN
-0.66346,0,-0.81929,tar,P1,NaN
-0.42516,0,-1.1596,tar,P1,NaN
-0.87597,0,-1.3446,tar,P1,NaN
-0.95669,0,-1.6891,tar,P1,NaN
-0.26763,0,-1.4261,tar,P1,NaN
-0.083813,0,-0.99421,tar,P1,NaN
-0.32613,0,-0.91457,tar,P1,NaN
-0.31088,0,-0.63624,tar,P1,NaN
0.60478,0,-0.83532,tar,P2,NaN
0.90558,0,-1.7257,tar,P2,NaN
0.23776,0,-1.7025,tar,P2,NaN
0.22564,0,-1.425,tar,P2,NaN
0.12577,0,-1.08,tar,P2,NaN
0.97434,0,-1.2461,tar,P2,NaN
0.83971,0,-1.0301,tar,P2,NaN
0.6003,0,-1.8613,tar,P2,NaN
0.54388,0,-1.3365,tar,P2,NaN
0.26355,0,-0.82924,tar,P2,NaN
0.37084,0,-1.1403,tar,P2,NaN
0.98267,0,-0.72919,tar,P2,NaN
0.30533,0,0.52745,tar,P2,NaN
0.46967,0,-0.12727,tar,P2,NaN
0.75677,0,0.021664,tar,P2,NaN
0.56466,0,0.25633,tar,P2,NaN
0.13328,0,-0.12136,tar,P2,NaN
0.77455,0,-0.36827,tar,P2,NaN
1.0218,0,0.28921,tar,P2,NaN
0.16608,0,-0.49389,tar,P2,NaN
0.95788,0,0.55031,tar,P2,NaN
0.43838,0,-0.469,tar,P2,NaN
0.11226,0,0.16208,tar,P2,NaN
1.0073,0,-0.21277,tar,P2,NaN
0.78156,0,1.6154,tar,P2,NaN
0.13602,0,1.6538,tar,P2,NaN
0.90583,0,1.0075,tar,P2,NaN
0.10329,0,1.0179,tar,P2,NaN
0.53696,0,1.2477,tar,P2,NaN
1.0111,0,1.7881,tar,P2,NaN
0.19019,0,1.357,tar,P2,NaN
1.0255,0,1.4063,tar,P2,NaN
0.34975,0,0.97107,tar,P2,NaN
0.51687,0,1.6889,tar,P2,NaN
0.79636,0,1.2788,tar,P2,NaN
1.0007,0,0.77411,tar,P2,NaN
-0.72672,0,1.0834,tar,P2,NaN
-0.23354,0,1.2946,tar,P2,NaN
-0.75122,0,1.4765,tar,P2,NaN
-0.15472,0,1.7509,tar,P2,NaN
-0.27028,0,0.92689,tar,P2,NaN
-0.95132,0,1.6689,tar,P2,NaN
-1.0193,0,0.75908,tar,P2,NaN
-0.98383,0,1.1906,tar,P2,NaN
-0.3567,0,1.5408,tar,P2,NaN
-0.51875,0,1.7792,tar,P2,NaN
-0.50499,0,1.3354,tar,P2,NaN
-0.66065,0,0.79684,tar,P2,NaN
-0.86885,0,-0.42692,tar,P2,NaN
-0.73936,0,0.4262,tar,P2,NaN
-0.23724,0,0.33485,tar,P2,NaN
-0.26567,0,-0.31151,tar,P2,NaN
-0.074001,0,0.020036,tar,P2,NaN
-0.58385,0,0.028225,tar,P2,NaN
-0.99738,0,0.50316,tar,P2,NaN
-0.49642,0,0.49226,tar,P2,NaN
-0.99242,0,0.08259,tar,P2,NaN
-0.53414,0,-0.57724,tar,P2,NaN
-0.80063,0,-0.14836,tar,P2,NaN
-0.32851,0,-0.0017495,tar,P2,NaN
-0.96264,0,-1.6152,tar,P2,NaN
-0.23631,0,-1.0245,tar,P2,NaN
-0.94277,0,-1.1133,tar,P2,NaN
-0.71672,0,-1.5232,tar,P2,NaN
-0.27729,0,-0.73188,tar,P2,NaN
-0.91265,0,-0.77329,tar,P2,NaN
-0.61321,0,-0.86607,tar,P2,NaN
-0.37362,0,-1.7522,tar,P2,NaN
-0.45335,0,-1.5131,tar,P2,NaN
-0.68782,0,-1.8104,tar,P2,NaN
-0.094118,0,-1.6607,tar,P2,NaN
-0.51846,0,-1.1453,tar,P2,NaN
0.94364,0,-0.97811,tar,P3,NaN
0.62786,0,-1.0751,tar,P3,NaN
0.66501,0,-1.8333,tar,P3,NaN
0.80572,0,-1.6223,tar,P3,NaN
0.21664,0,-1.8325,tar,P3,NaN
0.49165,0,-1.4957,tar,P3,NaN
0.084502,0,-0.95643,tar,P3,NaN
0.772,0,-1.2993,tar,P3,NaN
0.92227,0,-1.8881,tar,P3,NaN
0.30527,0,-0.80142,tar,P3,NaN
1.0225,0,-1.3671,tar,P3,NaN
0.21949,0,-1.5054,tar,P3,NaN
0.39995,0,0.20491,tar,P3,NaN
0.77711,0,-0.48403,tar,P3,NaN
0.87894,0,0.0020471,tar,P3,NaN
0.34414,0,-0.11299,tar,P3,NaN
0.099286,0,0.11517,tar,P3,NaN
0.31102,0,-0.44266,tar,P3,NaN
0.66375,0,0.16171,tar,P3,NaN
0.67076,0,-0.17755,tar,P3,NaN
0.49528,0,-0.63049,tar,P3,NaN
1.0225,0,-0.27922,tar,P3,NaN
0.97039,0,0.31006,tar,P3,NaN
0.14976,0,-0.63605,tar,P3,NaN
0.98073,0,0.65837,tar,P3,NaN
0.46505,0,0.80913,tar,P3,NaN
0.09423,0,1.5885,tar,P3,NaN
0.094527,0,0.63264,tar,P3,NaN
0.81938,0,0.9972,tar,P3,NaN
0.12046,0,1.0373,tar,P3,NaN
0.59229,0,1.1335,tar,P3,NaN
0.72085,0,1.5598,tar,P3,NaN
0.33696,0,1.2371,tar,P3,NaN
0.97176,0,1.213,tar,P3,NaN
0.74747,0,0.75711,tar,P3,NaN
0.44983,0,1.6696,tar,P3,NaN
-0.25783,0,0.86064,tar,P3,NaN
-0.83261,0,1.3101,tar,P3,NaN
-0.89589,0,0.9041,tar,P3,NaN
