X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.45899,0,-0.87048,C10,297,P1,1001,NaN
0.61284,0,-0.93266,C10,215,P1,1002,NaN
0.40112,0,-1.0646,C10,282,P1,1003,NaN
0.22443,0,-0.93003,C10,356,P1,1004,NaN
0.60952,0,-1.7213,C10,284,P1,1005,NaN
0.59879,0,-1.1077,C10,308,P1,1006,NaN
0.96039,0,-0.94095,O,175,P1,3001,NaN
0.93713,0,-0.65982,O,315,P1,3002,NaN
0.39717,0,-1.5913,O,121,P1,3003,NaN
0.16424,0,-1.243,O,74,P1,3004,NaN
0.81892,0,-1.3816,O,178,P1,3005,NaN
0.80831,0,-1.1184,O,12,P1,3006,NaN
0.92742,0,0.25645,C10,298,P1,1007,NaN
0.23874,0,-0.39466,C10,96,P1,1008,NaN
0.7802,0,0.0057897,C10,244,P1,1009,NaN
0.094819,0,0.54247,C10,286,P1,1010,NaN
0.47712,0,-0.3081,C10,246,P1,1011,NaN
0.57346,0,0.3979,C10,235,P1,1012,NaN
0.23301,0,0.38655,O,86,P1,3007,NaN
0.78062,0,-0.45529,O,172,P1,3008,NaN
0.25343,0,-0.056984,O,338,P1,3009,NaN
0.2531,0,0.19673,O,87,P1,3010,NaN
0.11888,0,0.10388,O,76,P1,3011,NaN
0.72786,0,0.29524,O,99,P1,3012,NaN
0.83784,0,1.5804,C10,280,P1,1013,NaN
0.56914,0,1.5408,C10,120,P1,1014,NaN
0.96681,0,1.1705,C10,218,P1,1015,NaN
0.56076,0,1.0745,C10,67,P1,1016,NaN
0.314,0,1.6306,C10,32,P1,1017,NaN
0.58663,0,1.7491,C10,112,P1,1018,NaN
0.40668,0,1.8218,O,84,P1,3013,NaN
0.96061,0,1.8502,O,328,P1,3014,NaN
0.16769,0,1.4588,O,338,P1,3015,NaN
0.33481,0,1.2101,O,12,P1,3016,NaN
0.92729,0,0.79849,O,214,P1,3017,NaN
0.62528,0,1.3076,O,16,P1,3018,NaN
-0.075744,0,1.1524,C10,153,P1,1019,NaN
-0.10403,0,1.9049,C10,188,P1,1020,NaN
