X,Y,Z,Prefab,Projector,Filler,
0.41581,0,-0.74994,tar,P1,NaN,
0.79272,0,-0.67351,tar,P1,NaN,
0.94161,0,-0.99793,tar,P1,NaN,
0.45341,0,-1.3466,tar,P1,NaN,
0.30439,0,-0.93856,tar,P1,NaN,
0.74901,0,-1.3669,tar,P1,NaN,
0.84796,0,-1.5826,tar,P1,NaN,
0.28252,0,-1.5592,tar,P1,NaN,
0.67359,0,-0.036639,tar,P1,NaN,
0.4031,0,0.31745,tar,P1,NaN,
0.60487,0,0.29105,tar,P1,NaN,
0.96783,0,0.35652,tar,P1,NaN,
0.25171,0,-0.16628,tar,P1,NaN,
0.83738,0,-0.27793,tar,P1,NaN,
0.57026,0,0.64346,tar,P1,NaN,
0.95995,0,0.050526,tar,P1,NaN,
0.71412,0,1.6005,tar,P1,NaN,
0.20567,0,0.9822,tar,P1,NaN,
0.083914,0,1.1812,tar,P1,NaN,
0.42714,0,1.4108,tar,P1,NaN,
0.78352,0,1.8632,tar,P1,NaN,
1.0195,0,0.9978,tar,P1,NaN,
1.0299,0,1.3726,tar,P1,NaN,
0.23255,0,1.7151,tar,P1,NaN,
-0.66873,0,1.6914,tar,P1,NaN,
-0.84838,0,1.3646,tar,P1,NaN,
-0.28459,0,1.5526,tar,P1,NaN,
-0.99938,0,0.95492,tar,P1,NaN,
-0.60681,0,1.3577,tar,P1,NaN,
-0.10279,0,1.1894,tar,P1,NaN,
-0.34492,0,1.3507,tar,P1,NaN,
-0.27784,0,0.82445,tar,P1,NaN,
-0.95968,0,-0.28885,tar,P1,NaN,
-0.50942,0,0.50039,tar,P1,NaN,
-0.8941,0,0.12152,tar,P1,NaN,
-0.48181,0,-0.075085,tar,P1,NaN,
-0.11989,0,0.47568,tar,P1,NaN,
-0.17289,0,0.15201,tar,P1,NaN,
-0.89237,0,0.4409,tar,P1,NaN,
-0.10215,0,-0.1549,tar,P1,NaN,
-0.55177,0,-1.1401,tar,P1,NaN,
-0.72202,0,-1.4017,tar,P1,NaN,
-0.2468,0,-0.67928,tar,P1,NaN,
-0.34654,0,-0.86358,tar,P1,NaN,
-0.66924,0,-1.7098,tar,P1,NaN,
-0.53878,0,-0.66663,tar,P1,NaN,
-0.62943,0,-0.94491,tar,P1,NaN,
-0.27201,0,-1.6623,tar,P1,NaN,
0.32398,0,-1.335,tar,P2,NaN,
1.0001,0,-0.7948,tar,P2,NaN,
0.22545,0,-1.6298,tar,P2,NaN,
1.0212,0,-1.5715,tar,P2,NaN,
0.88389,0,-1.2315,tar,P2,NaN,
0.2022,0,-1.0373,tar,P2,NaN,
0.79846,0,-1.7104,tar,P2,NaN,
0.50905,0,-0.83675,tar,P2,NaN,
0.40068,0,-0.3864,tar,P2,NaN,
0.15984,0,-0.52154,tar,P2,NaN,
0.67654,0,-0.39013,tar,P2,NaN,
0.81805,0,0.28225,tar,P2,NaN,
0.091525,0,0.024138,tar,P2,NaN,
0.39464,0,0.11541,tar,P2,NaN,
1.0282,0,-0.085949,tar,P2,NaN,
1.0135,0,0.33384,tar,P2,NaN,
0.48596,0,0.92801,tar,P2,NaN,
0.99536,0,1.2023,tar,P2,NaN,
0.84881,0,0.84476,tar,P2,NaN,
0.67059,0,1.2531,tar,P2,NaN,
0.95771,0,1.6331,tar,P2,NaN,
0.48388,0,1.7876,tar,P2,NaN,
0.25762,0,1.4901,tar,P2,NaN,
0.97372,0,1.8626,tar,P2,NaN,
-0.14044,0,1.0697,tar,P2,NaN,
-0.20414,0,1.3355,tar,P2,NaN,
-0.56775,0,1.3231,tar,P2,NaN,
-0.43123,0,1.0324,tar,P2,NaN,
-0.60976,0,1.8283,tar,P2,NaN,
-0.35665,0,1.732,tar,P2,NaN,
-0.87001,0,1.1754,tar,P2,NaN,
-0.72551,0,1.6603,tar,P2,NaN,
-0.74897,0,0.071156,tar,P2,NaN,
-0.85283,0,0.355,tar,P2,NaN,
-0.66419,0,-0.55571,tar,P2,NaN,
-1.0054,0,-0.43097,tar,P2,NaN,
-0.21169,0,-0.090393,tar,P2,NaN,
-0.5515,0,0.027589,tar,P2,NaN,
-0.8879,0,-0.11961,tar,P2,NaN,
-0.98951,0,0.054265,tar,P2,NaN,
-0.40241,0,-0.93859,tar,P2,NaN,
-0.33812,0,-1.1922,tar,P2,NaN,
-0.82366,0,-1.4195,tar,P2,NaN,
-0.47854,0,-1.8606,tar,P2,NaN,
-0.14879,0,-1.4106,tar,P2,NaN,
-0.9114,0,-0.80409,tar,P2,NaN,
-0.70375,0,-0.94952,tar,P2,NaN,
-0.68802,0,-1.7566,tar,P2,NaN,
0.17571,0,-1.5957,tar,P3,NaN,
0.62871,0,-0.92695,tar,P3,NaN,
0.18158,0,-1.2195,tar,P3,NaN,
1.0231,0,-1.6562,tar,P3,NaN,
0.94382,0,-0.96095,tar,P3,NaN,
0.82031,0,-1.1703,tar,P3,NaN,
0.25994,0,-0.89577,tar,P3,NaN,
0.90117,0,-1.4224,tar,P3,NaN,
0.25652,0,0.20675,tar,P3,NaN,
0.14321,0,-0.1799,tar,P3,NaN,
0.63093,0,-0.46875,tar,P3,NaN,
0.86209,0,-0.29464,tar,P3,NaN,
1.0165,0,-0.0053975,tar,P3,NaN,
0.48283,0,-0.65193,tar,P3,NaN,
0.52635,0,-0.14872,tar,P3,NaN,
0.69343,0,0.4622,tar,P3,NaN,
0.24351,0,0.6645,tar,P3,NaN,
0.55569,0,1.0277,tar,P3,NaN,
0.34322,0,1.6059,tar,P3,NaN,
1.023,0,1.2489,tar,P3,NaN,
0.59008,0,1.6484,tar,P3,NaN,
0.44598,0,1.4261,tar,P3,NaN,
0.090491,0,1.4783,tar,P3,NaN,
0.33912,0,0.91291,tar,P3,NaN,
-0.35956,0,0.96542,tar,P3,NaN,
-0.83277,0,1.2844,tar,P3,NaN,
-0.47756,0,1.6638,tar,P3,NaN,
-0.71627,0,0.75615,tar,P3,NaN,
-0.58983,0,1.3781,tar,P3,NaN,
-0.85322,0,0.94777,tar,P3,NaN,
-0.99539,0,1.5496,tar,P3,NaN,
-0.17256,0,1.0879,tar,P3,NaN,
-0.706,0,-0.32198,tar,P3,NaN,
-0.73915,0,-0.10083,tar,P3,NaN,
-0.4167,0,-0.44973,tar,P3,NaN,
-1.0011,0,0.064975,tar,P3,NaN,
-0.39753,0,-0.0012384,tar,P3,NaN,
-0.183,0,-0.58337,tar,P3,NaN,
-0.84376,0,0.22778,tar,P3,NaN,
-0.070845,0,0.29621,tar,P3,NaN,
-0.67259,0,-1.2911,tar,P3,NaN,
-0.41664,0,-0.80351,tar,P3,NaN,
-0.31549,0,-1.4161,tar,P3,NaN,
-0.25001,0,-1.6438,tar,P3,NaN,
-0.82197,0,-0.92294,tar,P3,NaN,
-0.32859,0,-1.0618,tar,P3,NaN,
-0.83185,0,-1.6372,tar,P3,NaN,
-0.61132,0,-0.86976,tar,P3,NaN,
0.41581,0,-0.74994,tar,P1,NaN,
0.79272,0,-0.67351,tar,P1,NaN,
0.94161,0,-0.99793,tar,P1,NaN,
0.45341,0,-1.3466,tar,P1,NaN,
0.30439,0,-0.93856,tar,P1,NaN,
0.74901,0,-1.3669,tar,P1,NaN,
0.84796,0,-1.5826,tar,P1,NaN,
0.28252,0,-1.5592,tar,P1,NaN,
0.67359,0,-0.036639,tar,P1,NaN,
0.4031,0,0.31745,tar,P1,NaN,
0.60487,0,0.29105,tar,P1,NaN,
0.96783,0,0.35652,tar,P1,NaN,
0.25171,0,-0.16628,tar,P1,NaN,
0.83738,0,-0.27793,tar,P1,NaN,
0.57026,0,0.64346,tar,P1,NaN,
0.95995,0,0.050526,tar,P1,NaN,
0.71412,0,1.6005,tar,P1,NaN,
0.20567,0,0.9822,tar,P1,NaN,
0.083914,0,1.1812,tar,P1,NaN,
0.42714,0,1.4108,tar,P1,NaN,
0.78352,0,1.8632,tar,P1,NaN,
1.0195,0,0.9978,tar,P1,NaN,
1.0299,0,1.3726,tar,P1,NaN,
0.23255,0,1.7151,tar,P1,NaN,
-0.66873,0,1.6914,tar,P1,NaN,
-0.84838,0,1.3646,tar,P1,NaN,
-0.28459,0,1.5526,tar,P1,NaN,
-0.99938,0,0.95492,tar,P1,NaN,
-0.60681,0,1.3577,tar,P1,NaN,
-0.10279,0,1.1894,tar,P1,NaN,
-0.34492,0,1.3507,tar,P1,NaN,
-0.27784,0,0.82445,tar,P1,NaN,
-0.95968,0,-0.28885,tar,P1,NaN,
-0.50942,0,0.50039,tar,P1,NaN,
-0.8941,0,0.12152,tar,P1,NaN,
-0.48181,0,-0.075085,tar,P1,NaN,
-0.11989,0,0.47568,tar,P1,NaN,
-0.17289,0,0.15201,tar,P1,NaN,
-0.89237,0,0.4409,tar,P1,NaN,
-0.10215,0,-0.1549,tar,P1,NaN,
-0.55177,0,-1.1401,tar,P1,NaN,
-0.72202,0,-1.4017,tar,P1,NaN,
-0.2468,0,-0.67928,tar,P1,NaN,
-0.34654,0,-0.86358,tar,P1,NaN,
-0.66924,0,-1.7098,tar,P1,NaN,
-0.53878,0,-0.66663,tar,P1,NaN,
-0.62943,0,-0.94491,tar,P1,NaN,
-0.27201,0,-1.6623,tar,P1,NaN,
0.32398,0,-1.335,tar,P2,NaN,
1.0001,0,-0.7948,tar,P2,NaN,
0.22545,0,-1.6298,tar,P2,NaN,
1.0212,0,-1.5715,tar,P2,NaN,
0.88389,0,-1.2315,tar,P2,NaN,
0.2022,0,-1.0373,tar,P2,NaN,
0.79846,0,-1.7104,tar,P2,NaN,
0.50905,0,-0.83675,tar,P2,NaN,
0.40068,0,-0.3864,tar,P2,NaN,
0.15984,0,-0.52154,tar,P2,NaN,
0.67654,0,-0.39013,tar,P2,NaN,
0.81805,0,0.28225,tar,P2,NaN,
0.091525,0,0.024138,tar,P2,NaN,
0.39464,0,0.11541,tar,P2,NaN,
1.0282,0,-0.085949,tar,P2,NaN,
1.0135,0,0.33384,tar,P2,NaN,
0.48596,0,0.92801,tar,P2,NaN,
0.99536,0,1.2023,tar,P2,NaN,
0.84881,0,0.84476,tar,P2,NaN,
0.67059,0,1.2531,tar,P2,NaN,
0.95771,0,1.6331,tar,P2,NaN,
0.48388,0,1.7876,tar,P2,NaN,
0.25762,0,1.4901,tar,P2,NaN,
0.97372,0,1.8626,tar,P2,NaN,
-0.14044,0,1.0697,tar,P2,NaN,
-0.20414,0,1.3355,tar,P2,NaN,
-0.56775,0,1.3231,tar,P2,NaN,
-0.43123,0,1.0324,tar,P2,NaN,
-0.60976,0,1.8283,tar,P2,NaN,
-0.35665,0,1.732,tar,P2,NaN,
-0.87001,0,1.1754,tar,P2,NaN,
-0.72551,0,1.6603,tar,P2,NaN,
-0.74897,0,0.071156,tar,P2,NaN,
-0.85283,0,0.355,tar,P2,NaN,
-0.66419,0,-0.55571,tar,P2,NaN,
-1.0054,0,-0.43097,tar,P2,NaN,
-0.21169,0,-0.090393,tar,P2,NaN,
-0.5515,0,0.027589,tar,P2,NaN,
-0.8879,0,-0.11961,tar,P2,NaN,
-0.98951,0,0.054265,tar,P2,NaN,
-0.40241,0,-0.93859,tar,P2,NaN,
-0.33812,0,-1.1922,tar,P2,NaN,
-0.82366,0,-1.4195,tar,P2,NaN,
-0.47854,0,-1.8606,tar,P2,NaN,
-0.14879,0,-1.4106,tar,P2,NaN,
-0.9114,0,-0.80409,tar,P2,NaN,
-0.70375,0,-0.94952,tar,P2,NaN,
-0.68802,0,-1.7566,tar,P2,NaN,
0.17571,0,-1.5957,tar,P3,NaN,
0.62871,0,-0.92695,tar,P3,NaN,
0.18158,0,-1.2195,tar,P3,NaN,
