X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.2383,0,-1.1009,C80,173,P1,2001,NaN
0.58612,0,-1.2214,C80,3,P1,2002,NaN
0.87075,0,-1.2029,C80,62,P1,2003,NaN
1.0034,0,-0.60131,C80,110,P1,2004,NaN
0.26196,0,-0.88308,C80,269,P1,2005,NaN
0.25106,0,-1.6821,C80,210,P1,2006,NaN
0.67314,0,-1.0727,O,253,P1,3001,NaN
0.31338,0,-0.7194,O,290,P1,3002,NaN
0.1904,0,-1.4006,O,307,P1,3003,NaN
0.82617,0,-1.3855,O,43,P1,3004,NaN
0.73219,0,-0.61264,O,237,P1,3005,NaN
0.16213,0,-0.63063,O,272,P1,3006,NaN
0.12611,0,0.54825,C80,253,P1,2007,NaN
0.6755,0,-0.32414,C80,218,P1,2008,NaN
0.37679,0,-0.046263,C80,14,P1,2009,NaN
0.35964,0,0.43295,C80,71,P1,2010,NaN
0.51349,0,0.221,C80,120,P1,2011,NaN
0.86912,0,-0.13354,C80,232,P1,2012,NaN
0.13769,0,0.17941,O,79,P1,3007,NaN
0.23404,0,-0.16313,O,28,P1,3008,NaN
0.77019,0,0.091407,O,354,P1,3009,NaN
0.80187,0,0.61233,O,75,P1,3010,NaN
0.97072,0,-0.37284,O,354,P1,3011,NaN
0.65283,0,0.63426,O,220,P1,3012,NaN
0.38742,0,1.8751,C80,90,P1,2013,NaN
0.070351,0,1.8118,C80,187,P1,2014,NaN
0.21158,0,1.3412,C80,257,P1,2015,NaN
0.23452,0,1.1517,C80,94,P1,2016,NaN
0.7013,0,1.4646,C80,42,P1,2017,NaN
0.12362,0,0.85011,C80,198,P1,2018,NaN
0.7754,0,1.8934,O,79,P1,3013,NaN
0.10198,0,1.6442,O,113,P1,3014,NaN
0.32085,0,0.92942,O,351,P1,3015,NaN
1.0032,0,1.8029,O,112,P1,3016,NaN
0.7593,0,1.6338,O,341,P1,3017,NaN
0.48658,0,1.0097,O,148,P1,3018,NaN
-0.40075,0,0.84834,C80,4,P1,2019,NaN
-0.20162,0,1.6765,C80,112,P1,2020,NaN
-0.61385,0,1.6813,C80,56,P1,2021,NaN
-0.97683,0,1.1886,C80,358,P1,2022,NaN
-0.9282,0,1.7197,C80,163,P1,2023,NaN
-0.76596,0,0.80384,C80,197,P1,2024,NaN
-0.38271,0,1.8586,O,95,P1,3019,NaN
-0.20733,0,1.2313,O,318,P1,3020,NaN
-0.44623,0,1.5569,O,38,P1,3021,NaN
-0.5665,0,0.95646,O,297,P1,3022,NaN
-0.74873,0,1.4508,O,154,P1,3023,NaN
-0.64767,0,1.2912,O,332,P1,3024,NaN
-0.11535,0,-0.30839,C80,191,P1,2025,NaN
-0.2265,0,-0.05759,C80,314,P1,2026,NaN
-0.62312,0,-0.41646,C80,128,P1,2027,NaN
-0.20968,0,0.60218,C80,145,P1,2028,NaN
-0.51555,0,-0.2676,C80,216,P1,2029,NaN
-0.27402,0,-0.37136,C80,329,P1,2030,NaN
-0.83115,0,-0.20176,O,48,P1,3025,NaN
-0.42012,0,-0.033038,O,16,P1,3026,NaN
