X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.38026,0,-1.6164,C10,48,P1,1001,NaN
0.29475,0,-0.85643,C10,301,P1,1002,NaN
0.73511,0,-0.88935,C10,289,P1,1003,NaN
0.86486,0,-0.79509,C10,331,P1,1004,NaN
0.36699,0,-1.3927,C10,50,P1,1005,NaN
0.38229,0,-1.1341,C10,182,P1,1006,NaN
1.022,0,-1.1165,C10,146,P1,1007,NaN
1.0112,0,-0.87262,C10,63,P1,1008,NaN
0.57742,0,-1.4586,C10,208,P1,1009,NaN
0.7966,0,-1.6651,O,219,P1,3001,NaN
0.96231,0,-0.6102,O,78,P1,3002,NaN
0.070328,0,-1.2619,O,188,P1,3003,NaN
0.26942,0,0.14603,C10,357,P1,1010,NaN
0.38277,0,-0.21609,C10,177,P1,1011,NaN
0.78763,0,-0.35496,C10,251,P1,1012,NaN
0.59157,0,0.37982,C10,149,P1,1013,NaN
0.86904,0,-0.082263,C10,13,P1,1014,NaN
0.98924,0,0.1592,C10,106,P1,1015,NaN
0.41224,0,0.54233,C10,289,P1,1016,NaN
0.83476,0,0.23828,C10,125,P1,1017,NaN
0.19051,0,0.37686,C10,30,P1,1018,NaN
0.92658,0,0.37572,O,184,P1,3004,NaN
0.19441,0,-0.18983,O,133,P1,3005,NaN
0.63896,0,-0.40522,O,267,P1,3006,NaN
0.87487,0,0.98042,C10,189,P1,1019,NaN
0.55211,0,0.98567,C10,290,P1,1020,NaN
0.41119,0,1.9222,C10,295,P1,1021,NaN
0.27511,0,0.85001,C10,69,P1,1022,NaN
0.39032,0,1.245,C10,45,P1,1023,NaN
0.99363,0,1.5663,C10,296,P1,1024,NaN
0.97272,0,1.2902,C10,230,P1,1025,NaN
0.65589,0,0.80357,C10,6,P1,1026,NaN
0.29366,0,1.699,C10,323,P1,1027,NaN
0.80273,0,1.847,O,186,P1,3007,NaN
0.62053,0,1.7276,O,197,P1,3008,NaN
0.36989,0,1.0486,O,219,P1,3009,NaN
-0.23328,0,1.4552,C10,274,P1,1028,NaN
-0.64355,0,1.1241,C10,308,P1,1029,NaN
-0.43985,0,1.7677,C10,138,P1,1030,NaN
-0.83445,0,1.9131,C10,31,P1,1031,NaN
-0.45454,0,1.2464,C10,265,P1,1032,NaN
-0.92913,0,1.6984,C10,120,P1,1033,NaN
-0.22256,0,1.7219,C10,303,P1,1034,NaN
-0.76471,0,1.7538,C10,134,P1,1035,NaN
-0.46517,0,1.4977,C10,299,P1,1036,NaN
-0.16152,0,0.89853,O,64,P1,3010,NaN
-0.60857,0,1.7928,O,47,P1,3011,NaN
-0.7798,0,1.4949,O,317,P1,3012,NaN
-0.21976,0,0.038809,C10,16,P1,1037,NaN
-0.7383,0,-0.24207,C10,248,P1,1038,NaN
-0.7057,0,0.08119,C10,265,P1,1039,NaN
-0.082012,0,0.4361,C10,158,P1,1040,NaN
-0.66955,0,0.32772,C10,137,P1,1041,NaN
-0.096587,0,0.63339,C10,353,P1,1042,NaN
-0.20431,0,0.2618,C10,144,P1,1043,NaN
-0.42335,0,-0.010479,C10,159,P1,1044,NaN
-0.4929,0,0.64638,C10,57,P1,1045,NaN
-0.33847,0,0.58822,O,118,P1,3013,NaN
-0.83921,0,0.53648,O,114,P1,3014,NaN
-0.077512,0,-0.017818,O,323,P1,3015,NaN
-0.3975,0,-1.27,C10,89,P1,1046,NaN
-0.074433,0,-0.70808,C10,112,P1,1047,NaN
-0.9259,0,-0.98754,C10,148,P1,1048,NaN
-0.43663,0,-1.6823,C10,255,P1,1049,NaN
-0.10651,0,-1.0844,C10,52,P1,1050,NaN
-0.39398,0,-0.88289,C10,314,P1,1051,NaN
-0.7805,0,-1.1337,C10,30,P1,1052,NaN
-0.5114,0,-0.6398,C10,167,P1,1053,NaN
-0.97333,0,-1.1378,C10,11,P1,1054,NaN
-0.71301,0,-0.72082,O,272,P1,3016,NaN
-0.92061,0,-1.4644,O,253,P1,3017,NaN
-0.75945,0,-1.4129,O,78,P1,3018,NaN
0.52704,0,-1.7087,C10,245,P2,1055,NaN
0.60009,0,-0.8266,C10,201,P2,1056,NaN
0.12171,0,-1.8418,C10,307,P2,1057,NaN
0.50332,0,-0.94613,C10,202,P2,1058,NaN
0.82806,0,-1.4361,C10,325,P2,1059,NaN
0.58106,0,-1.4574,C10,152,P2,1060,NaN
0.90662,0,-1.0545,C10,129,P2,1061,NaN
0.14293,0,-0.74919,C10,177,P2,1062,NaN
0.46733,0,-1.1991,C10,93,P2,1063,NaN
0.32328,0,-1.5214,O,335,P2,3019,NaN
0.8199,0,-1.6636,O,169,P2,3020,NaN
1.0227,0,-1.6529,O,92,P2,3021,NaN
0.47726,0,0.35062,C10,156,P2,1064,NaN
0.63735,0,-0.49504,C10,253,P2,1065,NaN
0.25602,0,0.47582,C10,145,P2,1066,NaN
0.78919,0,-0.078453,C10,66,P2,1067,NaN
0.97847,0,-0.53455,C10,309,P2,1068,NaN
0.54803,0,-0.36674,C10,211,P2,1069,NaN
1.0245,0,0.020701,C10,135,P2,1070,NaN
0.99391,0,0.41163,C10,80,P2,1071,NaN
0.53031,0,0.50458,C10,79,P2,1072,NaN
0.60622,0,0.23789,O,189,P2,3022,NaN
0.36217,0,-0.52032,O,157,P2,3023,NaN
0.59096,0,-0.078902,O,267,P2,3024,NaN
