X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.61635,0,-1.5877,C80,215,P1,2001,NaN
0.40463,0,-0.73771,C80,292,P1,2002,NaN
0.20665,0,-1.6758,C80,355,P1,2003,NaN
0.78091,0,-1.6368,C80,319,P1,2004,NaN
0.71152,0,-1.209,C80,77,P1,2005,NaN
0.6185,0,-0.93565,C80,13,P1,2006,NaN
0.91265,0,-1.0151,C80,163,P1,2007,NaN
0.20568,0,-1.1966,C80,5,P1,2008,NaN
0.71432,0,-1.3762,C80,171,P1,2009,NaN
0.54792,0,-1.1735,O,343,P1,3001,NaN
0.27656,0,-0.63062,O,90,P1,3002,NaN
0.35988,0,-0.88559,O,140,P1,3003,NaN
0.86293,0,-0.3621,C80,156,P1,2010,NaN
0.81429,0,-0.024325,C80,300,P1,2011,NaN
0.17499,0,-0.26103,C80,297,P1,2012,NaN
0.9113,0,0.55621,C80,164,P1,2013,NaN
0.5929,0,-0.42148,C80,138,P1,2014,NaN
0.56057,0,0.66032,C80,334,P1,2015,NaN
0.13741,0,0.52057,C80,267,P1,2016,NaN
0.4842,0,0.17236,C80,266,P1,2017,NaN
0.4291,0,-0.44762,C80,341,P1,2018,NaN
0.9828,0,-0.1151,O,184,P1,3004,NaN
0.27469,0,0.016722,O,286,P1,3005,NaN
0.57856,0,0.35519,O,163,P1,3006,NaN
0.5614,0,1.7305,C80,306,P1,2019,NaN
0.27475,0,1.4185,C80,141,P1,2020,NaN
0.72598,0,0.8558,C80,266,P1,2021,NaN
0.67471,0,1.2545,C80,352,P1,2022,NaN
0.070959,0,0.98752,C80,189,P1,2023,NaN
0.18489,0,0.81718,C80,155,P1,2024,NaN
1.0068,0,1.8691,C80,75,P1,2025,NaN
0.54413,0,0.83181,C80,117,P1,2026,NaN
0.30316,0,1.7684,C80,40,P1,2027,NaN
0.85105,0,1.7364,O,136,P1,3007,NaN
0.072149,0,1.5052,O,119,P1,3008,NaN
0.93823,0,1.2246,O,124,P1,3009,NaN
-0.66633,0,1.5631,C80,295,P1,2028,NaN
-0.08754,0,1.4404,C80,192,P1,2029,NaN
-0.75789,0,1.7537,C80,188,P1,2030,NaN
-0.94937,0,1.9083,C80,279,P1,2031,NaN
-0.25111,0,1.0788,C80,44,P1,2032,NaN
-0.52,0,0.89206,C80,226,P1,2033,NaN
-0.32073,0,1.6985,C80,125,P1,2034,NaN
-0.57064,0,1.1915,C80,121,P1,2035,NaN
-0.89003,0,1.4584,C80,207,P1,2036,NaN
-0.41541,0,1.8164,O,312,P1,3010,NaN
-0.72347,0,1.0771,O,72,P1,3011,NaN
-0.18019,0,1.8226,O,243,P1,3012,NaN
-0.14122,0,0.43171,C80,325,P1,2037,NaN
-0.53316,0,-0.26163,C80,72,P1,2038,NaN
-0.15334,0,0.24301,C80,108,P1,2039,NaN
-0.65637,0,0.28463,C80,179,P1,2040,NaN
-0.9484,0,0.21299,C80,321,P1,2041,NaN
-0.97855,0,0.57558,C80,181,P1,2042,NaN
-0.24968,0,-0.034959,C80,100,P1,2043,NaN
-0.18095,0,-0.18815,C80,193,P1,2044,NaN
-0.78726,0,-0.18272,C80,207,P1,2045,NaN
-0.98213,0,0.40092,O,149,P1,3013,NaN
-0.43453,0,0.30863,O,6,P1,3014,NaN
-0.7802,0,-0.030713,O,253,P1,3015,NaN
