X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.27333,0,-0.60236,C80,18,P1,2001,NaN
0.80185,0,-1.3525,C80,193,P1,2002,NaN
0.99283,0,-0.87089,C80,15,P1,2003,NaN
0.65417,0,-1.0813,O,180,P1,3001,NaN
0.39981,0,-1.3119,O,76,P1,3002,NaN
0.25233,0,-1.6799,O,172,P1,3003,NaN
0.62966,0,-0.67723,O,236,P1,3004,NaN
0.83294,0,-1.672,O,18,P1,3005,NaN
0.58491,0,-0.922,O,309,P1,3006,NaN
0.27251,0,-1.0623,O,15,P1,3007,NaN
0.56519,0,-1.2569,O,231,P1,3008,NaN
0.88865,0,-1.1812,O,183,P1,3009,NaN
0.3314,0,0.079201,C80,208,P1,2004,NaN
1.0007,0,0.36033,C80,317,P1,2005,NaN
0.088182,0,-0.18971,C80,67,P1,2006,NaN
0.84051,0,0.64347,O,73,P1,3010,NaN
0.16827,0,0.3407,O,48,P1,3011,NaN
0.73508,0,0.040647,O,296,P1,3012,NaN
0.95488,0,-0.088092,O,265,P1,3013,NaN
0.086679,0,0.53805,O,322,P1,3014,NaN
0.9908,0,-0.29629,O,58,P1,3015,NaN
0.36421,0,0.34149,O,153,P1,3016,NaN
0.84558,0,0.46944,O,227,P1,3017,NaN
0.6871,0,0.56082,O,215,P1,3018,NaN
0.18373,0,1.5049,C80,107,P1,2007,NaN
0.66902,0,1.8318,C80,282,P1,2008,NaN
0.98325,0,1.087,C80,138,P1,2009,NaN
0.09009,0,0.84903,O,355,P1,3019,NaN
0.56713,0,0.89614,O,74,P1,3020,NaN
0.45609,0,1.7864,O,281,P1,3021,NaN
0.64423,0,1.4291,O,305,P1,3022,NaN
0.305,0,1.1967,O,167,P1,3023,NaN
0.24873,0,1.851,O,245,P1,3024,NaN
0.96228,0,1.8337,O,287,P1,3025,NaN
0.90671,0,0.95098,O,85,P1,3026,NaN
0.76315,0,0.81091,O,271,P1,3027,NaN
-0.65805,0,1.7863,C80,332,P1,2010,NaN
-0.92275,0,1.0745,C80,359,P1,2011,NaN
-0.39673,0,1.7505,C80,318,P1,2012,NaN
-0.71371,0,0.89374,O,182,P1,3028,NaN
-0.54369,0,1.1357,O,3,P1,3029,NaN
-0.1302,0,1.2323,O,6,P1,3030,NaN
-0.28148,0,0.97664,O,35,P1,3031,NaN
-0.57873,0,1.4302,O,284,P1,3032,NaN
-0.78395,0,1.2281,O,200,P1,3033,NaN
-0.43867,0,0.8643,O,260,P1,3034,NaN
-0.38846,0,1.432,O,83,P1,3035,NaN
-0.48526,0,1.6273,O,5,P1,3036,NaN
-0.62151,0,-0.44491,C80,44,P1,2013,NaN
-0.27719,0,-0.42992,C80,228,P1,2014,NaN
-0.36765,0,0.6414,C80,6,P1,2015,NaN
-0.45594,0,0.41493,O,339,P1,3037,NaN
-0.3136,0,-0.14253,O,360,P1,3038,NaN
-0.60518,0,0.3183,O,137,P1,3039,NaN
-0.88526,0,0.0089385,O,323,P1,3040,NaN
-0.32316,0,0.33026,O,213,P1,3041,NaN
-0.17455,0,0.27643,O,301,P1,3042,NaN
-0.70189,0,0.089956,O,174,P1,3043,NaN
