X,Y,Z,Prefab,Rotation,Projector,ID,Filler
0.21802,0,-1.368,C10,169,P1,1001,NaN
0.36322,0,-1.2856,C10,250,P1,1002,NaN
0.33869,0,-0.79836,C10,340,P1,1003,NaN
0.508,0,-1.0636,O,228,P1,3001,NaN
0.43481,0,-1.6797,O,223,P1,3002,NaN
0.13553,0,-1.1077,O,232,P1,3003,NaN
0.81102,0,-1.4829,O,55,P1,3004,NaN
0.84637,0,-1.0132,O,89,P1,3005,NaN
0.081287,0,-1.6988,O,199,P1,3006,NaN
0.96198,0,-0.87954,O,87,P1,3007,NaN
0.5787,0,-0.85489,O,182,P1,3008,NaN
0.98715,0,-1.7177,O,289,P1,3009,NaN
0.90742,0,0.52482,C10,239,P1,1004,NaN
0.57986,0,0.093272,C10,14,P1,1005,NaN
0.79015,0,-0.42667,C10,75,P1,1006,NaN
0.63022,0,0.3909,O,146,P1,3010,NaN
0.69663,0,-0.30266,O,331,P1,3011,NaN
0.78977,0,0.29668,O,219,P1,3012,NaN
0.84217,0,-0.11853,O,79,P1,3013,NaN
0.33312,0,-0.12524,O,126,P1,3014,NaN
0.1022,0,0.29759,O,97,P1,3015,NaN
0.47469,0,-0.29407,O,139,P1,3016,NaN
0.96358,0,0.31892,O,317,P1,3017,NaN
0.12057,0,-0.2883,O,200,P1,3018,NaN
0.30322,0,1.4824,C10,117,P1,1007,NaN
0.72136,0,1.4256,C10,234,P1,1008,NaN
0.89218,0,1.7072,C10,220,P1,1009,NaN
0.24841,0,1.1304,O,33,P1,3019,NaN
0.46358,0,0.90483,O,133,P1,3020,NaN
0.11492,0,1.3776,O,339,P1,3021,NaN
0.82002,0,1.2932,O,333,P1,3022,NaN
0.88531,0,1.913,O,94,P1,3023,NaN
0.80606,0,0.86454,O,96,P1,3024,NaN
1.008,0,1.4693,O,281,P1,3025,NaN
0.54645,0,1.3053,O,145,P1,3026,NaN
0.26472,0,1.9002,O,320,P1,3027,NaN
-0.87818,0,0.83266,C10,163,P1,1010,NaN
-0.28381,0,1.6074,C10,179,P1,1011,NaN
-0.70546,0,1.5232,C10,135,P1,1012,NaN
-0.98617,0,1.5341,O,138,P1,3028,NaN
-0.93116,0,1.7738,O,165,P1,3029,NaN
-0.66568,0,1.8633,O,259,P1,3030,NaN
-0.72964,0,0.94847,O,263,P1,3031,NaN
-0.28044,0,1.8089,O,122,P1,3032,NaN
-0.40913,0,1.0147,O,168,P1,3033,NaN
-0.54432,0,0.92231,O,136,P1,3034,NaN
-0.25396,0,1.2174,O,24,P1,3035,NaN
-0.49653,0,1.6279,O,354,P1,3036,NaN
-0.36759,0,-0.25147,C10,215,P1,1013,NaN
-0.56023,0,-0.19751,C10,163,P1,1014,NaN
-0.4346,0,0.39081,C10,350,P1,1015,NaN
-0.91556,0,-0.090535,O,248,P1,3037,NaN
