X,Y,Z,Prefab,Rotation,Projector,ID,Filler
-0.45899,0,0.87048,C80,117,P3,2001,NaN
-0.61284,0,0.93266,C80,35,P3,2002,NaN
-0.40112,0,1.0646,C80,102,P3,2003,NaN
-0.22443,0,0.93003,C80,176,P3,2004,NaN
-0.60952,0,1.7213,C80,104,P3,2005,NaN
-0.59879,0,1.1077,C80,128,P3,2006,NaN
-0.96039,0,0.94095,O,355,P3,3001,NaN
-0.93713,0,0.65982,O,135,P3,3002,NaN
-0.397169999999999,0,1.5913,O,301,P3,3003,NaN
-0.164240000000001,0,1.243,O,254,P3,3004,NaN
-0.818920000000001,0,1.3816,O,358,P3,3005,NaN
-0.80831,0,1.1184,O,192,P3,3006,NaN
-0.92742,0,-0.25645,C80,118,P3,2007,NaN
-0.23874,0,0.39466,C80,276,P3,2008,NaN
-0.7802,0,-0.00578970000000017,C80,64,P3,2009,NaN
-0.0948189999999999,0,-0.54247,C80,106,P3,2010,NaN
-0.47712,0,0.3081,C80,66,P3,2011,NaN
-0.57346,0,-0.3979,C80,55,P3,2012,NaN
-0.23301,0,-0.38655,O,266,P3,3007,NaN
-0.78062,0,0.45529,O,352,P3,3008,NaN
-0.25343,0,0.0569839999999999,O,158,P3,3009,NaN
-0.2531,0,-0.19673,O,267,P3,3010,NaN
-0.11888,0,-0.10388,O,256,P3,3011,NaN
-0.72786,0,-0.29524,O,279,P3,3012,NaN
-0.83784,0,-1.5804,C80,100,P3,2013,NaN
-0.56914,0,-1.5408,C80,300,P3,2014,NaN
-0.96681,0,-1.1705,C80,38,P3,2015,NaN
-0.56076,0,-1.0745,C80,247,P3,2016,NaN
-0.314,0,-1.6306,C80,212,P3,2017,NaN
-0.58663,0,-1.7491,C80,292,P3,2018,NaN
-0.406679999999999,0,-1.8218,O,264,P3,3013,NaN
-0.96061,0,-1.8502,O,148,P3,3014,NaN
-0.16769,0,-1.4588,O,158,P3,3015,NaN
-0.33481,0,-1.2101,O,192,P3,3016,NaN
-0.92729,0,-0.79849,O,34,P3,3017,NaN
-0.62528,0,-1.3076,O,196,P3,3018,NaN
0.075744,0,-1.1524,C80,333,P3,2019,NaN
0.10403,0,-1.9049,C80,8,P3,2020,NaN
0.33289,0,-1.5472,C80,123,P3,2021,NaN
0.52814,0,-1.1731,C80,46,P3,2022,NaN
0.34036,0,-1.1048,C80,272,P3,2023,NaN
0.95218,0,-1.673,C80,146,P3,2024,NaN
0.8342,0,-1.0465,O,97,P3,3019,NaN
0.57967,0,-1.0246,O,23,P3,3020,NaN
0.70322,0,-1.2231,O,143,P3,3021,NaN
0.29912,0,-0.8689,O,313,P3,3022,NaN
0.38268,0,-1.2504,O,302,P3,3023,NaN
0.9806,0,-1.4175,O,43,P3,3024,NaN
0.10317,0,0.11676,C80,212,P3,2025,NaN
0.66709,0,-0.58584,C80,316,P3,2026,NaN
0.48997,0,-0.2325,C80,248,P3,2027,NaN
0.11061,0,-0.47221,C80,112,P3,2028,NaN
0.1775,0,0.37798,C80,81,P3,2029,NaN
0.84342,0,-0.17032,C80,63,P3,2030,NaN
0.35247,0,0.21364,O,150,P3,3025,NaN
0.47153,0,-0.62752,O,116,P3,3026,NaN
0.87006,0,0.35062,O,18,P3,3027,NaN
0.87364,0,0.0436380000000003,O,186,P3,3028,NaN
0.26202,0,0.0244020000000001,O,215,P3,3029,NaN
0.82874,0,-0.53364,O,6,P3,3030,NaN
0.92153,0,1.1821,C80,163,P3,2031,NaN
0.96856,0,1.574,C80,124,P3,2032,NaN
0.42812,0,1.6337,C80,157,P3,2033,NaN
0.41695,0,1.2598,C80,171,P3,2034,NaN
0.29697,0,0.75852,C80,315,P3,2035,NaN
0.33952,0,1.4374,C80,296,P3,2036,NaN
0.28761,0,0.9421,O,102,P3,3031,NaN
0.72435,0,0.88163,O,257,P3,3032,NaN
0.28786,0,1.1483,O,166,P3,3033,NaN
0.1143,0,1.078,O,155,P3,3034,NaN
0.15905,0,1.5298,O,312,P3,3035,NaN
0.58569,0,1.0165,O,305,P3,3036,NaN
-0.89778,0,1.4502,C80,70,P2,2037,NaN
-0.67883,0,1.0857,C80,78,P2,2038,NaN
-0.146130000000001,0,1.7161,C80,109,P2,2039,NaN
-0.47361,0,0.86367,C80,34,P2,2040,NaN
-0.511910000000001,0,1.3143,C80,215,P2,2041,NaN
-0.33111,0,1.2818,C80,22,P2,2042,NaN
-0.93355,0,1.6114,O,196,P2,3037,NaN
-0.6495,0,0.82591,O,93,P2,3038,NaN
-0.64465,0,1.4563,O,58,P2,3039,NaN
-0.92878,0,1.1046,O,36,P2,3040,NaN
-0.58745,0,1.7787,O,262,P2,3041,NaN
-0.379750000000001,0,1.8114,O,77,P2,3042,NaN
-0.39206,0,-0.32419,C80,81,P2,2043,NaN
-1.0232,0,-0.1387,C80,304,P2,2044,NaN
-0.58818,0,-0.17169,C80,192,P2,2045,NaN
-0.78024,0,0.31058,C80,124,P2,2046,NaN
-0.89542,0,-0.45123,C80,98,P2,2047,NaN
-0.48586,0,-0.48142,C80,4,P2,2048,NaN
-1.0248,0,0.52486,O,75,P2,3043,NaN
-0.13417,0,0.54753,O,105,P2,3044,NaN
-0.15426,0,-0.49539,O,300,P2,3045,NaN
-0.57513,0,0.19442,O,149,P2,3046,NaN
-0.57101,0,-0.32581,O,28,P2,3047,NaN
-0.33908,0,0.096552,O,284,P2,3048,NaN
-0.10502,0,-1.4138,C80,277,P2,2049,NaN
-0.37997,0,-0.79388,C80,141,P2,2050,NaN
-0.23324,0,-0.83412,C80,312,P2,2051,NaN
-0.10817,0,-1.1506,C80,235,P2,2052,NaN
-0.68569,0,-1.5427,C80,161,P2,2053,NaN
-0.51454,0,-1.1917,C80,55,P2,2054,NaN
-0.90477,0,-0.9551,O,174,P2,3049,NaN
-0.50483,0,-1.7633,O,250,P2,3050,NaN
-0.90167,0,-1.8782,O,119,P2,3051,NaN
-0.61815,0,-0.83486,O,358,P2,3052,NaN
-0.60941,0,-1.3252,O,33,P2,3053,NaN
-0.62514,0,-1.8592,O,197,P2,3054,NaN
0.25183,0,-0.99193,C80,24,P2,2055,NaN
0.79003,0,-1.2435,C80,49,P2,2056,NaN
0.89306,0,-1.8283,C80,0,P2,2057,NaN
0.0969520000000002,0,-1.3146,C80,202,P2,2058,NaN
0.43992,0,-1.4721,C80,6,P2,2059,NaN
0.47533,0,-1.2648,C80,200,P2,2060,NaN
0.66883,0,-1.7771,O,124,P2,3055,NaN
0.62342,0,-0.98537,O,35,P2,3056,NaN
0.19149,0,-1.1671,O,69,P2,3057,NaN
0.97065,0,-1.3206,O,54,P2,3058,NaN
0.91625,0,-0.98839,O,45,P2,3059,NaN
0.17534,0,-0.83458,O,164,P2,3060,NaN
0.22453,0,0.54127,C80,244,P2,2061,NaN
0.92083,0,-0.00842939999999984,C80,351,P2,2062,NaN
0.45454,0,0.0110830000000001,C80,124,P2,2063,NaN
0.58731,0,-0.1775,C80,359,P2,2064,NaN
0.77768,0,-0.42196,C80,95,P2,2065,NaN
0.53961,0,-0.53025,C80,245,P2,2066,NaN
0.076033,0,-0.074913,O,69,P2,3061,NaN
0.98769,0,0.51287,O,150,P2,3062,NaN
0.63441,0,-0.36302,O,239,P2,3063,NaN
0.89095,0,0.19026,O,335,P2,3064,NaN
0.66619,0,0.29594,O,196,P2,3065,NaN
0.26227,0,-0.15513,O,262,P2,3066,NaN
0.169589999999999,0,1.6381,C80,60,P2,2067,NaN
0.51507,0,1.015,C80,134,P2,2068,NaN
0.48771,0,0.75484,C80,305,P2,2069,NaN
0.72923,0,0.88008,C80,190,P2,2070,NaN
0.98017,0,1.3087,C80,146,P2,2071,NaN
0.70983,0,1.5552,C80,350,P2,2072,NaN
0.267,0,1.4543,O,148,P2,3067,NaN
0.3324,0,1.8351,O,299,P2,3068,NaN
0.80739,0,1.1181,O,69,P2,3069,NaN
0.95788,0,1.1585,O,187,P2,3070,NaN
0.14769,0,1.8708,O,5,P2,3071,NaN
0.28318,0,0.82486,O,300,P2,3072,NaN
-0.597410000000001,0,1.7773,C80,302,P1,2073,NaN
-0.49445,0,0.83133,C80,164,P1,2074,NaN
-0.176530000000001,0,1.2576,C80,91,P1,2075,NaN
-0.226449999999999,0,1.698,C80,301,P1,2076,NaN
-0.33182,0,1.8815,C80,48,P1,2077,NaN
-0.414200000000001,0,1.6639,C80,330,P1,2078,NaN
-1.0287,0,1.7717,O,28,P1,3073,NaN
-0.44233,0,1.3448,O,166,P1,3074,NaN
-0.959250000000001,0,1.4737,O,42,P1,3075,NaN
-0.654820000000001,0,1.3651,O,235,P1,3076,NaN
-0.7009,0,1.0476,O,122,P1,3077,NaN
-0.86274,0,1.3281,O,82,P1,3078,NaN
-0.37119,0,-0.4207,C80,220,P1,2079,NaN
-0.34377,0,-0.23452,C80,239,P1,2080,NaN
-0.16038,0,0.64623,C80,287,P1,2081,NaN
-0.36334,0,0.29286,C80,333,P1,2082,NaN
-0.8061,0,0.16307,C80,11,P1,2083,NaN
-0.75596,0,-0.10409,C80,280,P1,2084,NaN
-0.9653,0,-0.45055,O,119,P1,3079,NaN
-0.6489,0,0.22786,O,106,P1,3080,NaN
-0.88201,0,0.0320810000000003,O,279,P1,3081,NaN
-0.16666,0,0.45109,O,42,P1,3082,NaN
-0.75115,0,0.63127,O,217,P1,3083,NaN
-0.98706,0,0.52882,O,62,P1,3084,NaN
-0.91073,0,-1.0935,C80,306,P1,2085,NaN
-0.41094,0,-1.5709,C80,62,P1,2086,NaN
-0.89997,0,-1.3077,C80,287,P1,2087,NaN
-0.14375,0,-0.62064,C80,65,P1,2088,NaN
-0.21323,0,-1.0212,C80,322,P1,2089,NaN
-0.82096,0,-0.63539,C80,322,P1,2090,NaN
-0.71907,0,-0.7925,O,255,P1,3085,NaN
-0.79687,0,-1.5829,O,81,P1,3086,NaN
-0.41459,0,-0.85556,O,115,P1,3087,NaN
-0.50648,0,-1.1055,O,154,P1,3088,NaN
-0.60238,0,-1.3679,O,6,P1,3089,NaN
-0.34656,0,-0.6038,O,250,P1,3090,NaN
0.88937,0,-1.0211,C80,38,P1,2091,NaN
0.58769,0,-0.68092,C80,252,P1,2092,NaN
0.23842,0,-1.0141,C80,328,P1,2093,NaN
0.24518,0,-1.2023,C80,128,P1,2094,NaN
1.0165,0,-1.1154,C80,335,P1,2095,NaN
0.87042,0,-0.60261,C80,154,P1,2096,NaN
0.76238,0,-0.77651,O,315,P1,3091,NaN
0.75428,0,-1.3232,O,72,P1,3092,NaN
0.65213,0,-1.5966,O,32,P1,3093,NaN
0.43031,0,-1.6667,O,217,P1,3094,NaN
0.92473,0,-0.83002,O,329,P1,3095,NaN
0.37635,0,-0.65276,O,153,P1,3096,NaN
0.25493,0,-0.21726,C80,200,P1,2097,NaN
0.16994,0,0.36455,C80,319,P1,2098,NaN
1.0162,0,-0.0215919999999998,C80,267,P1,2099,NaN
0.51768,0,0.27562,C80,263,P1,2100,NaN
0.60113,0,-0.0438609999999999,C80,309,P1,2101,NaN
0.89097,0,-0.2503,C80,153,P1,2102,NaN
0.22959,0,-0.43466,O,1,P1,3097,NaN
0.94435,0,0.32097,O,110,P1,3098,NaN
0.23772,0,0.0757620000000001,O,307,P1,3099,NaN
0.70964,0,0.49364,O,346,P1,3100,NaN
0.91759,0,0.48237,O,163,P1,3101,NaN
0.54925,0,0.45469,O,228,P1,3102,NaN
0.199959999999999,0,1.7808,C80,206,P1,2103,NaN
0.48822,0,1.0598,C80,75,P1,2104,NaN
0.55947,0,1.4843,C80,156,P1,2105,NaN
0.16115,0,0.92435,C80,220,P1,2106,NaN
0.47455,0,0.89868,C80,55,P1,2107,NaN
0.81902,0,1.3942,C80,233,P1,2108,NaN
0.85311,0,1.2445,O,70,P1,3103,NaN
0.41024,0,1.7815,O,46,P1,3104,NaN
0.73885,0,1.0926,O,196,P1,3105,NaN
0.39511,0,1.5072,O,108,P1,3106,NaN
0.76686,0,0.91442,O,176,P1,3107,NaN
0.65879,0,1.3108,O,338,P1,3108,NaN
