X,Y,Z,Prefab,Rotation,Projector,ID,Filler
-0.376030000000001,0,1.3889,C10,278,P3,1001,NaN
-0.55754,0,1.2454,C10,256,P3,1002,NaN
-0.321980000000001,0,1.6267,C10,24,P3,1003,NaN
-0.0980509999999999,0,0.82106,C10,51,P3,1004,NaN
-0.77112,0,0.67711,C10,331,P3,1005,NaN
-0.51049,0,1.4558,C10,255,P3,1006,NaN
-0.59493,0,0.63856,C10,162,P3,1007,NaN
-0.29233,0,1.1362,C10,210,P3,1008,NaN
-0.44969,0,0.95829,C10,219,P3,1009,NaN
-1.0185,0,1.3093,O,232,P3,3001,NaN
-0.91976,0,1.6805,O,240,P3,3002,NaN
-0.722539999999999,0,1.3454,O,44,P3,3003,NaN
-0.76238,0,0.30924,C10,27,P3,1010,NaN
-0.81789,0,-0.0934400000000001,C10,199,P3,1011,NaN
-0.93757,0,-0.34213,C10,156,P3,1012,NaN
-0.3908,0,-0.54018,C10,83,P3,1013,NaN
-0.2599,0,-0.32379,C10,86,P3,1014,NaN
-0.53073,0,-0.10003,C10,203,P3,1015,NaN
-0.65547,0,-0.55572,C10,130,P3,1016,NaN
-0.30033,0,0.25703,C10,157,P3,1017,NaN
-0.0975269999999999,0,-0.53521,C10,175,P3,1018,NaN
-0.23121,0,-0.088629,O,130,P3,3004,NaN
-0.13859,0,0.41522,O,103,P3,3005,NaN
-0.56785,0,-0.27972,O,5,P3,3006,NaN
-0.69303,0,-1.8926,C10,244,P3,1019,NaN
-0.50565,0,-1.6982,C10,324,P3,1020,NaN
-0.8623,0,-1.2839,C10,229,P3,1021,NaN
-0.19784,0,-0.89099,C10,192,P3,1022,NaN
-0.4453,0,-0.99224,C10,159,P3,1023,NaN
-0.84123,0,-1.7331,C10,289,P3,1024,NaN
-0.47013,0,-1.3903,C10,287,P3,1025,NaN
-0.67285,0,-1.5366,C10,300,P3,1026,NaN
-1.0147,0,-0.81444,C10,349,P3,1027,NaN
-0.26019,0,-1.2163,O,54,P3,3007,NaN
-0.95352,0,-1.8685,O,190,P3,3008,NaN
-0.77834,0,-0.85631,O,124,P3,3009,NaN
0.62408,0,-1.1,C10,22,P3,1028,NaN
0.12497,0,-1.4139,C10,128,P3,1029,NaN
0.0862700000000003,0,-1.2674,C10,306,P3,1030,NaN
0.35695,0,-1.1364,C10,341,P3,1031,NaN
0.51244,0,-1.5473,C10,200,P3,1032,NaN
0.90711,0,-0.99758,C10,244,P3,1033,NaN
0.86572,0,-1.922,C10,59,P3,1034,NaN
0.49125,0,-0.83371,C10,300,P3,1035,NaN
0.38759,0,-1.79,C10,144,P3,1036,NaN
0.2087,0,-0.97311,O,223,P3,3010,NaN
0.66878,0,-1.523,O,176,P3,3011,NaN
0.91421,0,-1.3398,O,15,P3,3012,NaN
0.81286,0,-0.20079,C10,75,P3,1037,NaN
0.47033,0,0.0299190000000001,C10,180,P3,1038,NaN
0.75118,0,0.17947,C10,284,P3,1039,NaN
0.086643,0,-0.46525,C10,330,P3,1040,NaN
0.69988,0,-0.35926,C10,348,P3,1041,NaN
1.0084,0,-0.20625,C10,96,P3,1042,NaN
0.72979,0,-0.0158419999999999,C10,115,P3,1043,NaN
0.93954,0,-0.0131689999999999,C10,217,P3,1044,NaN
0.57791,0,-0.21094,C10,245,P3,1045,NaN
0.35811,0,-0.32064,O,310,P3,3013,NaN
0.72318,0,0.38552,O,201,P3,3014,NaN
0.40173,0,-0.13475,O,8,P3,3015,NaN
0.24282,0,1.264,C10,301,P3,1046,NaN
0.1001,0,0.91413,C10,244,P3,1047,NaN
0.71786,0,1.1247,C10,256,P3,1048,NaN
0.443479999999999,0,1.6041,C10,146,P3,1049,NaN
0.62349,0,0.84607,C10,64,P3,1050,NaN
0.77419,0,1.6207,C10,349,P3,1051,NaN
0.52394,0,1.2275,C10,149,P3,1052,NaN
0.12412,0,1.1397,C10,218,P3,1053,NaN
0.38092,0,1.452,C10,89,P3,1054,NaN
0.96473,0,0.94027,O,86,P3,3016,NaN
0.81492,0,1.4361,O,23,P3,3017,NaN
1.0289,0,0.69159,O,247,P3,3018,NaN
-0.93956,0,0.93492,C10,35,P2,1055,NaN
-0.94684,0,1.7327,C10,288,P2,1056,NaN
-0.16364,0,1.1465,C10,229,P2,1057,NaN
-0.59501,0,1.5569,C10,257,P2,1058,NaN
-0.99629,0,0.76929,C10,143,P2,1059,NaN
-0.53596,0,0.76969,C10,206,P2,1060,NaN
-0.206210000000001,0,0.95167,C10,268,P2,1061,NaN
-0.94911,0,1.3908,C10,200,P2,1062,NaN
-0.79743,0,1.0927,C10,340,P2,1063,NaN
-0.44654,0,1.018,O,185,P2,3019,NaN
-0.114320000000001,0,1.5588,O,143,P2,3020,NaN
-0.10307,0,0.77774,O,251,P2,3021,NaN
-0.4363,0,0.0710570000000001,C10,214,P2,1064,NaN
-0.83339,0,-0.308,C10,291,P2,1065,NaN
-0.54017,0,0.36323,C10,345,P2,1066,NaN
-0.69046,0,0.0631200000000003,C10,217,P2,1067,NaN
-0.72251,0,0.25981,C10,179,P2,1068,NaN
-0.22611,0,-0.17991,C10,300,P2,1069,NaN
-0.39677,0,-0.5333,C10,288,P2,1070,NaN
-0.99092,0,-0.45345,C10,203,P2,1071,NaN
-0.31721,0,0.40682,C10,288,P2,1072,NaN
-0.31411,0,-0.39523,O,197,P2,3022,NaN
-0.52436,0,-0.13461,O,2,P2,3023,NaN
-0.8676,0,0.17207,O,95,P2,3024,NaN
-0.59773,0,-1.3989,C10,48,P2,1073,NaN
-0.34441,0,-1.7839,C10,213,P2,1074,NaN
-0.79358,0,-1.5984,C10,210,P2,1075,NaN
-0.61511,0,-1.1613,C10,100,P2,1076,NaN
-0.12179,0,-0.80799,C10,146,P2,1077,NaN
-0.817999999999999,0,-1.3357,C10,13,P2,1078,NaN
-0.19471,0,-1.8035,C10,220,P2,1079,NaN
-0.39364,0,-0.73381,C10,118,P2,1080,NaN
-0.83251,0,-0.90813,C10,302,P2,1081,NaN
-0.6479,0,-0.91215,O,286,P2,3025,NaN
-0.15047,0,-1.2426,O,89,P2,3026,NaN
-1.0263,0,-1.3445,O,184,P2,3027,NaN
0.60503,0,-0.81068,C10,198,P2,1082,NaN
0.10658,0,-0.84372,C10,61,P2,1083,NaN
0.28609,0,-0.72538,C10,38,P2,1084,NaN
0.196050000000001,0,-1.6681,C10,10,P2,1085,NaN
0.26193,0,-1.0214,C10,83,P2,1086,NaN
0.15578,0,-1.2204,C10,75,P2,1087,NaN
0.77675,0,-0.93094,C10,102,P2,1088,NaN
0.47348,0,-1.7284,C10,284,P2,1089,NaN
0.89084,0,-1.3578,C10,70,P2,1090,NaN
0.53728,0,-1.1271,O,21,P2,3028,NaN
0.95707,0,-1.1861,O,323,P2,3029,NaN
0.91161,0,-0.9983,O,203,P2,3030,NaN
0.79965,0,0.36667,C10,101,P2,1091,NaN
0.98233,0,0.0959700000000002,C10,302,P2,1092,NaN
0.123,0,-0.46715,C10,39,P2,1093,NaN
0.56032,0,0.0105980000000002,C10,87,P2,1094,NaN
0.16595,0,0.18825,C10,218,P2,1095,NaN
0.65585,0,-0.32509,C10,227,P2,1096,NaN
0.64224,0,0.29964,C10,18,P2,1097,NaN
0.97261,0,-0.087242,C10,355,P2,1098,NaN
1.0152,0,-0.37259,C10,141,P2,1099,NaN
0.86777,0,0.53009,O,108,P2,3031,NaN
0.32755,0,-0.17297,O,85,P2,3032,NaN
0.59711,0,-0.17139,O,199,P2,3033,NaN
0.74553,0,1.2455,C10,207,P2,1100,NaN
0.8486,0,1.0162,C10,212,P2,1101,NaN
0.42941,0,1.4526,C10,108,P2,1102,NaN
0.28532,0,0.80191,C10,160,P2,1103,NaN
0.61158,0,1.3153,C10,67,P2,1104,NaN
0.51849,0,0.93857,C10,228,P2,1105,NaN
0.12856,0,1.4732,C10,81,P2,1106,NaN
0.46644,0,1.1579,C10,220,P2,1107,NaN
0.7408,0,1.639,C10,223,P2,1108,NaN
0.85258,0,1.381,O,51,P2,3034,NaN
0.0894419999999999,0,0.83034,O,299,P2,3035,NaN
0.917279999999999,0,1.6228,O,56,P2,3036,NaN
-0.47738,0,1.4023,C10,90,P1,1109,NaN
-0.80935,0,1.404,C10,30,P1,1110,NaN
-0.82335,0,1.5599,C10,87,P1,1111,NaN
-0.104330000000001,0,1.3923,C10,265,P1,1112,NaN
-0.762889999999999,0,1.725,C10,85,P1,1113,NaN
-0.65309,0,1.5389,C10,170,P1,1114,NaN
-0.95073,0,1.6496,C10,133,P1,1115,NaN
-0.346000000000001,0,1.7106,C10,212,P1,1116,NaN
-0.623160000000001,0,1.8204,C10,312,P1,1117,NaN
-0.59473,0,1.1535,O,313,P1,3037,NaN
-0.97737,0,1.2071,O,67,P1,3038,NaN
-0.18462,0,1.657,O,36,P1,3039,NaN
-0.50213,0,-0.020824,C10,105,P1,1118,NaN
-0.70547,0,0.14648,C10,313,P1,1119,NaN
-0.40621,0,-0.20434,C10,255,P1,1120,NaN
-0.8696,0,-0.28501,C10,212,P1,1121,NaN
-0.65892,0,0.37425,C10,98,P1,1122,NaN
-0.18445,0,0.30485,C10,255,P1,1123,NaN
-0.68973,0,-0.39525,C10,320,P1,1124,NaN
-1.024,0,0.0746700000000004,C10,19,P1,1125,NaN
-0.13105,0,0.53948,C10,263,P1,1126,NaN
-0.50044,0,0.20744,O,52,P1,3040,NaN
-0.8111,0,-0.0440110000000004,O,355,P1,3041,NaN
-1.0038,0,-0.38739,O,235,P1,3042,NaN
-0.20332,0,-0.81322,C10,102,P1,1127,NaN
-0.16007,0,-1.381,C10,217,P1,1128,NaN
-0.57913,0,-1.1886,C10,286,P1,1129,NaN
-0.53546,0,-1.5666,C10,266,P1,1130,NaN
-0.71457,0,-1.04,C10,12,P1,1131,NaN
-0.214,0,-0.98852,C10,213,P1,1132,NaN
-0.32166,0,-1.2569,C10,326,P1,1133,NaN
-0.79474,0,-0.64706,C10,218,P1,1134,NaN
-0.49471,0,-0.87038,C10,221,P1,1135,NaN
-0.44892,0,-1.4261,O,103,P1,3043,NaN
-0.74589,0,-1.3665,O,285,P1,3044,NaN
-0.0887949999999999,0,-1.095,O,38,P1,3045,NaN
0.62266,0,-0.96955,C10,168,P1,1136,NaN
0.84083,0,-0.90132,C10,336,P1,1137,NaN
0.61728,0,-1.5223,C10,71,P1,1138,NaN
0.30513,0,-1.5074,C10,93,P1,1139,NaN
0.11867,0,-1.487,C10,336,P1,1140,NaN
0.38559,0,-0.96584,C10,56,P1,1141,NaN
0.22984,0,-1.0909,C10,220,P1,1142,NaN
0.86944,0,-1.4627,C10,157,P1,1143,NaN
0.88144,0,-1.2591,C10,248,P1,1144,NaN
0.89916,0,-0.72278,O,276,P1,3046,NaN
0.55463,0,-1.3612,O,108,P1,3047,NaN
0.55479,0,-0.81061,O,356,P1,3048,NaN
0.97722,0,0.49679,C10,97,P1,1145,NaN
0.49186,0,-0.2949,C10,323,P1,1146,NaN
0.3612,0,-0.38374,C10,279,P1,1147,NaN
0.24722,0,0.00677740000000008,C10,194,P1,1148,NaN
0.080645,0,-0.32677,C10,63,P1,1149,NaN
0.19918,0,0.66241,C10,335,P1,1150,NaN
0.079648,0,-0.02675,C10,343,P1,1151,NaN
0.56966,0,0.0688320000000001,C10,40,P1,1152,NaN
0.81127,0,-0.23932,C10,202,P1,1153,NaN
0.39024,0,0.38518,O,294,P1,3049,NaN
0.42908,0,0.569,O,99,P1,3050,NaN
0.91397,0,0.64388,O,71,P1,3051,NaN
0.56508,0,0.95159,C10,226,P1,1154,NaN
0.82897,0,0.97169,C10,227,P1,1155,NaN
0.42531,0,1.3011,C10,214,P1,1156,NaN
0.43988,0,1.887,C10,183,P1,1157,NaN
0.98245,0,1.5149,C10,333,P1,1158,NaN
0.84519,0,1.3717,C10,57,P1,1159,NaN
0.83273,0,1.7844,C10,81,P1,1160,NaN
0.51295,0,1.6056,C10,12,P1,1161,NaN
0.55085,0,1.1402,C10,220,P1,1162,NaN
0.60262,0,1.3197,O,48,P1,3052,NaN
0.55926,0,1.7835,O,226,P1,3053,NaN
0.19103,0,0.96252,O,229,P1,3054,NaN
