X,Y,Z,Prefab,Rotation,Projector,ID,Filler
-0.29936,0,0.92665,C10,219,P3,1001,NaN
-0.298620000000001,0,1.5251,C10,271,P3,1002,NaN
-0.10902,0,1.4037,C10,339,P3,1003,NaN
-0.974800000000001,0,1.1021,O,32,P3,3001,NaN
-0.0846470000000003,0,0.93933,O,291,P3,3002,NaN
-0.80482,0,1.3601,O,337,P3,3003,NaN
-0.27988,0,1.2904,O,292,P3,3004,NaN
-0.28181,0,1.0887,O,150,P3,3005,NaN
-0.453650000000001,0,1.5399,O,58,P3,3006,NaN
-0.47634,0,1.7,O,244,P3,3007,NaN
-0.11307,0,1.7193,O,53,P3,3008,NaN
-0.59872,0,1.0851,O,193,P3,3009,NaN
-1.0203,0,0.0824050000000002,C10,102,P3,1004,NaN
-0.88724,0,0.29595,C10,181,P3,1005,NaN
-0.57333,0,-0.42336,C10,319,P3,1006,NaN
-0.32291,0,0.44179,O,63,P3,3010,NaN
-0.75212,0,-0.66141,O,195,P3,3011,NaN
-0.68595,0,0.21743,O,337,P3,3012,NaN
-0.63362,0,0.36879,O,243,P3,3013,NaN
-0.19015,0,-0.25681,O,30,P3,3014,NaN
-0.36901,0,0.1522,O,249,P3,3015,NaN
-0.38256,0,-0.0371,O,319,P3,3016,NaN
-0.96839,0,-0.15949,O,138,P3,3017,NaN
-0.20773,0,-0.44127,O,181,P3,3018,NaN
-0.49759,0,-0.88553,C10,65,P3,1007,NaN
-0.77721,0,-1.3212,C10,282,P3,1008,NaN
-0.58177,0,-1.5841,C10,116,P3,1009,NaN
-0.22069,0,-1.0293,O,286,P3,3019,NaN
-0.49007,0,-1.2499,O,321,P3,3020,NaN
-0.959669999999999,0,-1.8949,O,163,P3,3021,NaN
-0.89808,0,-1.1439,O,121,P3,3022,NaN
-0.5924,0,-1.4278,O,141,P3,3023,NaN
-0.82645,0,-1.7454,O,156,P3,3024,NaN
-0.071757,0,-1.401,O,227,P3,3025,NaN
-0.21091,0,-1.51,O,306,P3,3026,NaN
-0.20055,0,-0.85778,O,77,P3,3027,NaN
0.59075,0,-1.2367,C10,46,P3,1010,NaN
0.20696,0,-1.1707,C10,121,P3,1011,NaN
0.84077,0,-1.4807,C10,260,P3,1012,NaN
0.29332,0,-0.9586,O,295,P3,3028,NaN
0.62645,0,-0.86074,O,259,P3,3029,NaN
0.071565,0,-1.7298,O,191,P3,3030,NaN
0.84752,0,-1.2276,O,65,P3,3031,NaN
0.37726,0,-1.9144,O,284,P3,3032,NaN
0.66269,0,-1.5274,O,192,P3,3033,NaN
0.46066,0,-0.82839,O,283,P3,3034,NaN
0.403,0,-1.6204,O,221,P3,3035,NaN
0.88308,0,-0.86677,O,206,P3,3036,NaN
0.554,0,-0.38787,C10,30,P3,1013,NaN
0.75321,0,0.0302000000000002,C10,184,P3,1014,NaN
0.12056,0,0.25315,C10,124,P3,1015,NaN
1.0007,0,-0.14659,O,204,P3,3037,NaN
0.64927,0,-0.15455,O,355,P3,3038,NaN
0.87373,0,-0.39382,O,239,P3,3039,NaN
0.4601,0,-0.064081,O,332,P3,3040,NaN
0.55274,0,0.36691,O,131,P3,3041,NaN
0.2325,0,-0.32542,O,57,P3,3042,NaN
0.095899,0,0.061342,O,167,P3,3043,NaN
0.28622,0,0.30012,O,323,P3,3044,NaN
0.68738,0,-0.57326,O,329,P3,3045,NaN
0.78512,0,1.5963,C10,101,P3,1016,NaN
0.24941,0,1.5477,C10,145,P3,1017,NaN
0.397,0,1.014,C10,61,P3,1018,NaN
0.93658,0,1.401,O,242,P3,3046,NaN
0.72758,0,0.78705,O,296,P3,3047,NaN
0.57998,0,1.0488,O,278,P3,3048,NaN
0.77944,0,0.98185,O,264,P3,3049,NaN
0.36659,0,1.4026,O,73,P3,3050,NaN
0.75874,0,0.62686,O,292,P3,3051,NaN
0.16473,0,0.7614,O,171,P3,3052,NaN
0.12075,0,1.4312,O,131,P3,3053,NaN
0.57519,0,0.84792,O,44,P3,3054,NaN
-0.9507,0,1.4522,C10,137,P2,1019,NaN
-0.962070000000001,0,1.8666,C10,291,P2,1020,NaN
-0.85839,0,1.0756,C10,46,P2,1021,NaN
-0.17615,0,0.88503,O,49,P2,3055,NaN
-0.5996,0,1.0622,O,289,P2,3056,NaN
-0.371180000000001,0,1.2761,O,30,P2,3057,NaN
-0.37694,0,1.6928,O,219,P2,3058,NaN
-0.54459,0,1.6899,O,108,P2,3059,NaN
-0.35878,0,0.99296,O,136,P2,3060,NaN
-0.72262,0,0.90692,O,54,P2,3061,NaN
-0.58673,0,1.499,O,200,P2,3062,NaN
-0.653179999999999,0,1.8574,O,158,P2,3063,NaN
-0.2873,0,-0.0450000000000002,C10,201,P2,1022,NaN
-0.96856,0,-0.48713,C10,270,P2,1023,NaN
-0.73972,0,0.01319,C10,316,P2,1024,NaN
-0.35123,0,0.56904,O,329,P2,3064,NaN
-0.21889,0,-0.19312,O,240,P2,3065,NaN
-0.91252,0,0.31833,O,160,P2,3066,NaN
-0.67391,0,-0.32479,O,227,P2,3067,NaN
-0.70093,0,0.49808,O,92,P2,3068,NaN
-0.97963,0,-0.0228050000000002,O,51,P2,3069,NaN
-0.57889,0,-0.000898890000000216,O,291,P2,3070,NaN
