X,Y,Z,Prefab,Rotation,Projector,ID,Filler
-0.10526,0,1.0615,C80,203,P3,2001,NaN
-0.86375,0,0.95548,C80,24,P3,2002,NaN
-0.4077,0,0.9349,C80,263,P3,2003,NaN
-0.34276,0,1.1722,O,339,P3,3001,NaN
-0.804329999999999,0,1.4235,O,216,P3,3002,NaN
-0.58701,0,1.065,O,226,P3,3003,NaN
-0.80839,0,0.6075,O,109,P3,3004,NaN
-0.885740000000001,0,1.1889,O,272,P3,3005,NaN
-0.99875,0,1.3331,O,0,P3,3006,NaN
-0.25547,0,1.3224,O,9,P3,3007,NaN
-0.37071,0,1.6205,O,188,P3,3008,NaN
-0.1489,0,1.6374,O,136,P3,3009,NaN
-0.89128,0,0.11426,C80,346,P3,2004,NaN
-0.38127,0,-0.0710589999999998,C80,173,P3,2005,NaN
-0.71721,0,-0.0550089999999998,C80,26,P3,2006,NaN
-0.87911,0,-0.18339,O,135,P3,3010,NaN
-0.31946,0,0.37762,O,267,P3,3011,NaN
-0.4852,0,-0.31119,O,223,P3,3012,NaN
-0.11423,0,0.098484,O,235,P3,3013,NaN
-0.47956,0,0.11354,O,202,P3,3014,NaN
-0.30329,0,-0.23013,O,253,P3,3015,NaN
-0.91749,0,-0.48815,O,133,P3,3016,NaN
-0.61013,0,-0.58222,O,98,P3,3017,NaN
-0.15055,0,-0.31009,O,156,P3,3018,NaN
-0.35644,0,-1.6011,C80,210,P3,2007,NaN
-0.37475,0,-1.0596,C80,206,P3,2008,NaN
-0.71142,0,-0.93611,C80,172,P3,2009,NaN
-0.11929,0,-1.4374,O,8,P3,3019,NaN
-0.10547,0,-1.7239,O,104,P3,3020,NaN
-0.67073,0,-1.5428,O,292,P3,3021,NaN
-0.35843,0,-1.9186,O,223,P3,3022,NaN
-0.421,0,-0.87254,O,355,P3,3023,NaN
-0.55441,0,-1.1208,O,330,P3,3024,NaN
-0.11357,0,-0.87609,O,150,P3,3025,NaN
-0.92518,0,-1.4207,O,238,P3,3026,NaN
-0.69365,0,-1.1957,O,254,P3,3027,NaN
0.30408,0,-1.4812,C80,235,P3,2010,NaN
0.17032,0,-1.7928,C80,165,P3,2011,NaN
0.52516,0,-0.88491,C80,90,P3,2012,NaN
0.26525,0,-0.84783,O,255,P3,3028,NaN
0.80391,0,-1.1515,O,60,P3,3029,NaN
0.22995,0,-1.0153,O,260,P3,3030,NaN
0.3159,0,-1.636,O,342,P3,3031,NaN
0.76493,0,-0.85215,O,159,P3,3032,NaN
0.83766,0,-1.4434,O,30,P3,3033,NaN
0.62974,0,-1.772,O,234,P3,3034,NaN
0.96286,0,-1.6331,O,47,P3,3035,NaN
0.3703,0,-1.8762,O,247,P3,3036,NaN
0.3238,0,0.17021,C80,210,P3,2013,NaN
0.19348,0,-0.075924,C80,258,P3,2014,NaN
0.49142,0,0.0998060000000001,C80,10,P3,2015,NaN
0.90089,0,0.18617,O,61,P3,3037,NaN
0.68087,0,0.19545,O,346,P3,3038,NaN
0.99254,0,-0.31179,O,258,P3,3039,NaN
0.77962,0,-0.31251,O,260,P3,3040,NaN
0.50573,0,-0.50152,O,141,P3,3041,NaN
0.88344,0,-0.0555219999999998,O,289,P3,3042,NaN
0.1517,0,0.32688,O,271,P3,3043,NaN
0.82548,0,0.40005,O,143,P3,3044,NaN
0.36106,0,-0.41139,O,224,P3,3045,NaN
0.44547,0,0.70072,C80,60,P3,2016,NaN
0.30701,0,1.1098,C80,298,P3,2017,NaN
0.17198,0,0.73521,C80,298,P3,2018,NaN
0.98406,0,1.264,O,118,P3,3046,NaN
1.0166,0,1.4545,O,19,P3,3047,NaN
0.15916,0,1.2932,O,53,P3,3048,NaN
0.73248,0,1.5573,O,125,P3,3049,NaN
0.82823,0,1.2521,O,35,P3,3050,NaN
0.79716,0,0.85885,O,300,P3,3051,NaN
0.33485,0,1.5083,O,257,P3,3052,NaN
0.24907,0,0.93414,O,46,P3,3053,NaN
0.60503,0,1.4483,O,275,P3,3054,NaN
-1.0057,0,1.2051,C80,172,P2,2019,NaN
-0.346840000000001,0,1.2656,C80,239,P2,2020,NaN
-0.27676,0,1.6524,C80,107,P2,2021,NaN
-0.614270000000001,0,1.3723,O,153,P2,3055,NaN
-0.37345,0,0.81792,O,348,P2,3056,NaN
-0.664139999999999,0,1.554,O,41,P2,3057,NaN
-0.56568,0,1.861,O,328,P2,3058,NaN
-0.14078,0,1.2353,O,169,P2,3059,NaN
-0.81132,0,1.4196,O,56,P2,3060,NaN
-0.817380000000001,0,1.8023,O,98,P2,3061,NaN
-0.61579,0,0.9934,O,330,P2,3062,NaN
-0.635319999999999,0,1.1672,O,234,P2,3063,NaN
-0.30019,0,-0.13529,C80,358,P2,2022,NaN
-0.74742,0,-0.33766,C80,126,P2,2023,NaN
-0.20288,0,-0.27594,C80,65,P2,2024,NaN
-0.77898,0,0.57363,O,341,P2,3064,NaN
-0.38017,0,0.51541,O,359,P2,3065,NaN
-0.88865,0,-0.50299,O,237,P2,3066,NaN
-0.51068,0,-0.0707639999999999,O,72,P2,3067,NaN
-0.079969,0,0.038203,O,254,P2,3068,NaN
-0.35418,0,0.26987,O,64,P2,3069,NaN
-0.67544,0,0.14371,O,225,P2,3070,NaN
-0.6942,0,-0.0200530000000002,O,35,P2,3071,NaN
-0.38778,0,-0.43065,O,99,P2,3072,NaN
-0.0974689999999997,0,-1.3668,C80,29,P2,2025,NaN
-0.82416,0,-0.9762,C80,67,P2,2026,NaN
-0.1249,0,-1.0574,C80,334,P2,2027,NaN
-0.6828,0,-1.5307,O,280,P2,3073,NaN
-0.9173,0,-1.4713,O,173,P2,3074,NaN
-0.7355,0,-1.1645,O,168,P2,3075,NaN
-0.94635,0,-1.1371,O,83,P2,3076,NaN
-0.26142,0,-1.5931,O,81,P2,3077,NaN
-0.79162,0,-1.8569,O,53,P2,3078,NaN
-0.65417,0,-1.7753,O,211,P2,3079,NaN
-0.46514,0,-1.8476,O,11,P2,3080,NaN
-0.37266,0,-0.77942,O,127,P2,3081,NaN
0.55697,0,-1.0851,C80,256,P2,2028,NaN
0.93882,0,-0.78453,C80,118,P2,2029,NaN
0.27886,0,-0.99733,C80,255,P2,2030,NaN
0.43098,0,-1.7278,O,352,P2,3082,NaN
0.7696,0,-1.1057,O,288,P2,3083,NaN
0.19544,0,-0.75709,O,305,P2,3084,NaN
0.0839950000000002,0,-1.0073,O,155,P2,3085,NaN
0.51836,0,-0.868,O,191,P2,3086,NaN
0.27758,0,-1.1592,O,80,P2,3087,NaN
0.68332,0,-1.7803,O,316,P2,3088,NaN
0.91564,0,-1.7768,O,32,P2,3089,NaN
0.9651,0,-1.2543,O,299,P2,3090,NaN
0.31921,0,0.13547,C80,132,P2,2031,NaN
0.55311,0,-0.0259,C80,128,P2,2032,NaN
1.0139,0,-0.38303,C80,18,P2,2033,NaN
0.89377,0,0.27369,O,196,P2,3091,NaN
0.75226,0,0.54175,O,13,P2,3092,NaN
0.87342,0,-0.45688,O,118,P2,3093,NaN
0.19138,0,-0.18277,O,24,P2,3094,NaN
0.98673,0,-0.23385,O,259,P2,3095,NaN
0.38429,0,-0.45269,O,297,P2,3096,NaN
0.54754,0,0.38875,O,204,P2,3097,NaN
0.39736,0,0.50859,O,315,P2,3098,NaN
0.74426,0,-0.0254419999999999,O,274,P2,3099,NaN
0.45619,0,1.1136,C80,274,P2,2034,NaN
0.17448,0,1.8086,C80,351,P2,2035,NaN
0.85636,0,0.77413,C80,215,P2,2036,NaN
0.30138,0,1.3836,O,203,P2,3100,NaN
0.19277,0,0.80913,O,114,P2,3101,NaN
0.16495,0,1.0564,O,205,P2,3102,NaN
0.79516,0,1.2845,O,288,P2,3103,NaN
0.92392,0,1.1237,O,104,P2,3104,NaN
