X,Y,Z,Prefab,Projector,Filler
-0.31408,0,0.88989,tar,P3,NaN
-0.8219,0,1.2724,tar,P3,NaN
-0.7099,0,0.91836,tar,P3,NaN
-0.242120000000001,0,1.3096,tar,P3,NaN
-0.0898650000000004,0,1.5533,tar,P3,NaN
-0.84868,0,1.474,tar,P3,NaN
-0.313100000000001,0,1.6054,tar,P3,NaN
-0.539590000000001,0,1.226,tar,P3,NaN
-0.25986,0,0.65071,tar,P3,NaN
-0.533920000000001,0,1.654,tar,P3,NaN
-0.65349,0,1.428,tar,P3,NaN
-0.41967,0,-0.00645570000000021,tar,P3,NaN
-0.55462,0,0.40661,tar,P3,NaN
-0.97883,0,-0.23554,tar,P3,NaN
-0.62424,0,-0.0441349999999999,tar,P3,NaN
-0.29982,0,-0.23789,tar,P3,NaN
-0.31337,0,0.31643,tar,P3,NaN
-0.82752,0,0.23209,tar,P3,NaN
-0.14662,0,-0.060591,tar,P3,NaN
-0.79,0,-0.6205,tar,P3,NaN
-0.44056,0,-0.54841,tar,P3,NaN
-0.59952,0,-0.24915,tar,P3,NaN
-0.45105,0,-1.0816,tar,P3,NaN
-0.80205,0,-0.99338,tar,P3,NaN
-0.52923,0,-1.69,tar,P3,NaN
-0.55105,0,-1.891,tar,P3,NaN
-1.0293,0,-1.3328,tar,P3,NaN
-0.56467,0,-0.81841,tar,P3,NaN
-0.14175,0,-1.5821,tar,P3,NaN
-0.79256,0,-1.725,tar,P3,NaN
-0.29543,0,-1.767,tar,P3,NaN
-0.55036,0,-1.4327,tar,P3,NaN
-0.0856699999999994,0,-1.864,tar,P3,NaN
0.10223,0,-1.1456,tar,P3,NaN
0.934670000000001,0,-1.7523,tar,P3,NaN
0.15724,0,-0.84375,tar,P3,NaN
0.22135,0,-1.4206,tar,P3,NaN
0.53077,0,-1.15,tar,P3,NaN
1.0174,0,-1.017,tar,P3,NaN
0.51739,0,-1.8628,tar,P3,NaN
0.59666,0,-0.9101,tar,P3,NaN
0.5192,0,-1.6399,tar,P3,NaN
0.21838,0,-1.6685,tar,P3,NaN
0.74946,0,-1.3794,tar,P3,NaN
0.64311,0,-0.57473,tar,P3,NaN
0.3589,0,0.00231510000000006,tar,P3,NaN
0.84681,0,-0.48301,tar,P3,NaN
0.43791,0,-0.51261,tar,P3,NaN
0.34645,0,0.32964,tar,P3,NaN
0.14779,0,-0.36723,tar,P3,NaN
0.66445,0,-0.33538,tar,P3,NaN
0.80729,0,-0.038195,tar,P3,NaN
1.0163,0,-0.19447,tar,P3,NaN
0.074961,0,-0.08287,tar,P3,NaN
0.60589,0,0.36914,tar,P3,NaN
0.37852,0,1.7224,tar,P3,NaN
0.1546,0,0.85054,tar,P3,NaN
0.50792,0,1.3241,tar,P3,NaN
0.85957,0,0.98754,tar,P3,NaN
1.0274,0,0.61413,tar,P3,NaN
0.60122,0,0.60267,tar,P3,NaN
0.7423,0,1.4554,tar,P3,NaN
0.94634,0,1.4347,tar,P3,NaN
0.27683,0,1.0196,tar,P3,NaN
0.89846,0,1.6756,tar,P3,NaN
0.30335,0,1.4047,tar,P3,NaN
-0.36046,0,1.8017,tar,P2,NaN
-0.711679999999999,0,1.307,tar,P2,NaN
-0.67999,0,0.72428,tar,P2,NaN
-0.3182,0,0.98553,tar,P2,NaN
-0.13386,0,1.3225,tar,P2,NaN
-0.947420000000001,0,1.8212,tar,P2,NaN
-0.72629,0,1.0579,tar,P2,NaN
-0.0995979999999996,0,0.9981,tar,P2,NaN
-0.863930000000001,0,1.6364,tar,P2,NaN
-0.49481,0,1.5107,tar,P2,NaN
-0.55582,0,0.93201,tar,P2,NaN
-0.74787,0,-0.00359680000000048,tar,P2,NaN
-0.64473,0,-0.52092,tar,P2,NaN
-0.48019,0,-0.26267,tar,P2,NaN
-0.57972,0,0.56991,tar,P2,NaN
-0.24597,0,0.33087,tar,P2,NaN
-0.13472,0,0.035312,tar,P2,NaN
-0.41787,0,0.21704,tar,P2,NaN
-0.83963,0,-0.28911,tar,P2,NaN
-0.98637,0,0.33719,tar,P2,NaN
-0.51307,0,0.0251059999999998,tar,P2,NaN
-0.20887,0,-0.41241,tar,P2,NaN
-0.0867479999999997,0,-1.2341,tar,P2,NaN
-0.72295,0,-0.82619,tar,P2,NaN
-0.515299999999999,0,-1.8134,tar,P2,NaN
-0.71149,0,-1.6289,tar,P2,NaN
-0.49565,0,-1.4706,tar,P2,NaN
-0.13954,0,-0.89413,tar,P2,NaN
-0.24068,0,-1.6112,tar,P2,NaN
-0.75082,0,-1.238,tar,P2,NaN
-0.39266,0,-1.2446,tar,P2,NaN
-0.73604,0,-1.8779,tar,P2,NaN
-0.16664,0,-1.8363,tar,P2,NaN
0.521240000000001,0,-1.7647,tar,P2,NaN
0.30933,0,-1.6703,tar,P2,NaN
0.88436,0,-0.97841,tar,P2,NaN
0.10109,0,-1.6052,tar,P2,NaN
0.84312,0,-1.77,tar,P2,NaN
0.58031,0,-0.89585,tar,P2,NaN
0.59812,0,-1.4958,tar,P2,NaN
0.58588,0,-1.2115,tar,P2,NaN
0.15387,0,-1.8077,tar,P2,NaN
0.18577,0,-1.4225,tar,P2,NaN
0.28887,0,-1.0948,tar,P2,NaN
0.73067,0,0.1717,tar,P2,NaN
0.5261,0,-0.35875,tar,P2,NaN
0.41647,0,0.15821,tar,P2,NaN
0.3275,0,0.35494,tar,P2,NaN
0.25291,0,-0.025932,tar,P2,NaN
0.0803189999999999,0,0.23566,tar,P2,NaN
0.81828,0,-0.57322,tar,P2,NaN
0.17073,0,-0.48612,tar,P2,NaN
0.92204,0,-0.20831,tar,P2,NaN
0.9664,0,-0.41116,tar,P2,NaN
0.14529,0,0.44455,tar,P2,NaN
0.98674,0,1.1784,tar,P2,NaN
0.90819,0,1.8397,tar,P2,NaN
0.52688,0,0.87619,tar,P2,NaN
0.93339,0,1.5591,tar,P2,NaN
0.19943,0,0.84614,tar,P2,NaN
0.79815,0,1.0305,tar,P2,NaN
0.68971,0,1.7997,tar,P2,NaN
0.55344,0,1.3892,tar,P2,NaN
0.14498,0,1.0396,tar,P2,NaN
0.98483,0,0.90879,tar,P2,NaN
0.60729,0,1.1791,tar,P2,NaN
-0.20982,0,1.4557,tar,P1,NaN
-0.712720000000001,0,1.0965,tar,P1,NaN
-0.98649,0,1.487,tar,P1,NaN
-0.63769,0,1.8958,tar,P1,NaN
-0.50257,0,1.0764,tar,P1,NaN
-0.420510000000001,0,1.3671,tar,P1,NaN
-0.20385,0,1.0437,tar,P1,NaN
-0.75916,0,0.90087,tar,P1,NaN
-0.905850000000001,0,1.7906,tar,P1,NaN
-0.0712930000000001,0,1.8487,tar,P1,NaN
-0.45047,0,1.5777,tar,P1,NaN
-0.69309,0,0.34106,tar,P1,NaN
-1.0166,0,0.36998,tar,P1,NaN
-0.71056,0,-0.0946960000000005,tar,P1,NaN
-0.13663,0,-0.22582,tar,P1,NaN
-1.0275,0,-0.31181,tar,P1,NaN
-0.092253,0,-0.0236720000000001,tar,P1,NaN
-0.82588,0,-0.35674,tar,P1,NaN
-0.79443,0,0.090371,tar,P1,NaN
-0.47527,0,-0.0249930000000001,tar,P1,NaN
-0.26805,0,0.38535,tar,P1,NaN
-0.52035,0,0.46028,tar,P1,NaN
-0.96468,0,-0.94847,tar,P1,NaN
-1.0198,0,-1.5854,tar,P1,NaN
-0.29582,0,-1.2886,tar,P1,NaN
-0.48609,0,-1.4889,tar,P1,NaN
-0.61744,0,-0.74302,tar,P1,NaN
-0.27921,0,-0.74094,tar,P1,NaN
-0.54015,0,-1.1237,tar,P1,NaN
-1.0206,0,-1.3577,tar,P1,NaN
-0.68915,0,-1.3823,tar,P1,NaN
-0.7019,0,-1.6167,tar,P1,NaN
-0.23231,0,-1.0144,tar,P1,NaN
0.0869210000000001,0,-0.64364,tar,P1,NaN
0.43659,0,-1.2556,tar,P1,NaN
0.16385,0,-0.9123,tar,P1,NaN
0.79701,0,-1.0924,tar,P1,NaN
0.91298,0,-0.64597,tar,P1,NaN
1.0177,0,-0.96078,tar,P1,NaN
0.84769,0,-1.3298,tar,P1,NaN
0.14066,0,-1.1828,tar,P1,NaN
0.0896079999999999,0,-1.7033,tar,P1,NaN
0.13009,0,-1.4972,tar,P1,NaN
0.33921,0,-1.0579,tar,P1,NaN
0.47932,0,-0.050077,tar,P1,NaN
0.88949,0,-0.25405,tar,P1,NaN
0.6705,0,0.36306,tar,P1,NaN
0.3202,0,0.54695,tar,P1,NaN
0.45841,0,0.29591,tar,P1,NaN
0.23541,0,0.19599,tar,P1,NaN
0.90312,0,0.52274,tar,P1,NaN
0.090902,0,-0.071955,tar,P1,NaN
0.07824,0,-0.43517,tar,P1,NaN
0.67615,0,-0.31032,tar,P1,NaN
0.43931,0,-0.35436,tar,P1,NaN
0.32769,0,1.0536,tar,P1,NaN
0.27025,0,0.82678,tar,P1,NaN
0.29567,0,1.4049,tar,P1,NaN
0.78421,0,0.82841,tar,P1,NaN
0.61304,0,1.7187,tar,P1,NaN
0.67027,0,1.358,tar,P1,NaN
0.84783,0,1.0542,tar,P1,NaN
0.13383,0,1.7052,tar,P1,NaN
0.96068,0,1.339,tar,P1,NaN
0.50357,0,0.93132,tar,P1,NaN
0.98584,0,1.8857,tar,P1,NaN
-0.31408,0,0.88989,tar,P3,NaN
-0.8219,0,1.2724,tar,P3,NaN
-0.7099,0,0.91836,tar,P3,NaN
-0.242120000000001,0,1.3096,tar,P3,NaN
-0.0898650000000004,0,1.5533,tar,P3,NaN
-0.84868,0,1.474,tar,P3,NaN
-0.313100000000001,0,1.6054,tar,P3,NaN
-0.539590000000001,0,1.226,tar,P3,NaN
-0.25986,0,0.65071,tar,P3,NaN
-0.533920000000001,0,1.654,tar,P3,NaN
-0.65349,0,1.428,tar,P3,NaN
-0.41967,0,-0.00645570000000021,tar,P3,NaN
-0.55462,0,0.40661,tar,P3,NaN
-0.97883,0,-0.23554,tar,P3,NaN
-0.62424,0,-0.0441349999999999,tar,P3,NaN
-0.29982,0,-0.23789,tar,P3,NaN
-0.31337,0,0.31643,tar,P3,NaN
-0.82752,0,0.23209,tar,P3,NaN
-0.14662,0,-0.060591,tar,P3,NaN
-0.79,0,-0.6205,tar,P3,NaN
-0.44056,0,-0.54841,tar,P3,NaN
-0.59952,0,-0.24915,tar,P3,NaN
-0.45105,0,-1.0816,tar,P3,NaN
-0.80205,0,-0.99338,tar,P3,NaN
-0.52923,0,-1.69,tar,P3,NaN
-0.55105,0,-1.891,tar,P3,NaN
-1.0293,0,-1.3328,tar,P3,NaN
-0.56467,0,-0.81841,tar,P3,NaN
-0.14175,0,-1.5821,tar,P3,NaN
-0.79256,0,-1.725,tar,P3,NaN
-0.29543,0,-1.767,tar,P3,NaN
-0.55036,0,-1.4327,tar,P3,NaN
-0.0856699999999994,0,-1.864,tar,P3,NaN
0.10223,0,-1.1456,tar,P3,NaN
0.934670000000001,0,-1.7523,tar,P3,NaN
0.15724,0,-0.84375,tar,P3,NaN
0.22135,0,-1.4206,tar,P3,NaN
0.53077,0,-1.15,tar,P3,NaN
1.0174,0,-1.017,tar,P3,NaN
0.51739,0,-1.8628,tar,P3,NaN
0.59666,0,-0.9101,tar,P3,NaN
0.5192,0,-1.6399,tar,P3,NaN
0.21838,0,-1.6685,tar,P3,NaN
0.74946,0,-1.3794,tar,P3,NaN
0.64311,0,-0.57473,tar,P3,NaN
0.3589,0,0.00231510000000006,tar,P3,NaN
0.84681,0,-0.48301,tar,P3,NaN
0.43791,0,-0.51261,tar,P3,NaN
0.34645,0,0.32964,tar,P3,NaN
0.14779,0,-0.36723,tar,P3,NaN
0.66445,0,-0.33538,tar,P3,NaN
0.80729,0,-0.038195,tar,P3,NaN
1.0163,0,-0.19447,tar,P3,NaN
0.074961,0,-0.08287,tar,P3,NaN
0.60589,0,0.36914,tar,P3,NaN
0.37852,0,1.7224,tar,P3,NaN
0.1546,0,0.85054,tar,P3,NaN
0.50792,0,1.3241,tar,P3,NaN
0.85957,0,0.98754,tar,P3,NaN
1.0274,0,0.61413,tar,P3,NaN
0.60122,0,0.60267,tar,P3,NaN
0.7423,0,1.4554,tar,P3,NaN
0.94634,0,1.4347,tar,P3,NaN
0.27683,0,1.0196,tar,P3,NaN
0.89846,0,1.6756,tar,P3,NaN
0.30335,0,1.4047,tar,P3,NaN
-0.36046,0,1.8017,tar,P2,NaN
-0.711679999999999,0,1.307,tar,P2,NaN
-0.67999,0,0.72428,tar,P2,NaN
-0.3182,0,0.98553,tar,P2,NaN
-0.13386,0,1.3225,tar,P2,NaN
-0.947420000000001,0,1.8212,tar,P2,NaN
-0.72629,0,1.0579,tar,P2,NaN
-0.0995979999999996,0,0.9981,tar,P2,NaN
-0.863930000000001,0,1.6364,tar,P2,NaN
-0.49481,0,1.5107,tar,P2,NaN
-0.55582,0,0.93201,tar,P2,NaN
-0.74787,0,-0.00359680000000048,tar,P2,NaN
-0.64473,0,-0.52092,tar,P2,NaN
-0.48019,0,-0.26267,tar,P2,NaN
-0.57972,0,0.56991,tar,P2,NaN
-0.24597,0,0.33087,tar,P2,NaN
-0.13472,0,0.035312,tar,P2,NaN
-0.41787,0,0.21704,tar,P2,NaN
-0.83963,0,-0.28911,tar,P2,NaN
-0.98637,0,0.33719,tar,P2,NaN
-0.51307,0,0.0251059999999998,tar,P2,NaN
-0.20887,0,-0.41241,tar,P2,NaN
-0.0867479999999997,0,-1.2341,tar,P2,NaN
-0.72295,0,-0.82619,tar,P2,NaN
-0.515299999999999,0,-1.8134,tar,P2,NaN
-0.71149,0,-1.6289,tar,P2,NaN
-0.49565,0,-1.4706,tar,P2,NaN
-0.13954,0,-0.89413,tar,P2,NaN
-0.24068,0,-1.6112,tar,P2,NaN
-0.75082,0,-1.238,tar,P2,NaN
-0.39266,0,-1.2446,tar,P2,NaN
-0.73604,0,-1.8779,tar,P2,NaN
-0.16664,0,-1.8363,tar,P2,NaN
0.521240000000001,0,-1.7647,tar,P2,NaN
0.30933,0,-1.6703,tar,P2,NaN
0.88436,0,-0.97841,tar,P2,NaN
0.10109,0,-1.6052,tar,P2,NaN
0.84312,0,-1.77,tar,P2,NaN
0.58031,0,-0.89585,tar,P2,NaN
0.59812,0,-1.4958,tar,P2,NaN
0.58588,0,-1.2115,tar,P2,NaN
0.15387,0,-1.8077,tar,P2,NaN
0.18577,0,-1.4225,tar,P2,NaN
0.28887,0,-1.0948,tar,P2,NaN
0.73067,0,0.1717,tar,P2,NaN
0.5261,0,-0.35875,tar,P2,NaN
0.41647,0,0.15821,tar,P2,NaN
0.3275,0,0.35494,tar,P2,NaN
0.25291,0,-0.025932,tar,P2,NaN
0.0803189999999999,0,0.23566,tar,P2,NaN
0.81828,0,-0.57322,tar,P2,NaN
0.17073,0,-0.48612,tar,P2,NaN
0.92204,0,-0.20831,tar,P2,NaN
0.9664,0,-0.41116,tar,P2,NaN
0.14529,0,0.44455,tar,P2,NaN
0.98674,0,1.1784,tar,P2,NaN
0.90819,0,1.8397,tar,P2,NaN
0.52688,0,0.87619,tar,P2,NaN
0.93339,0,1.5591,tar,P2,NaN
0.19943,0,0.84614,tar,P2,NaN
0.79815,0,1.0305,tar,P2,NaN
0.68971,0,1.7997,tar,P2,NaN
0.55344,0,1.3892,tar,P2,NaN
0.14498,0,1.0396,tar,P2,NaN
0.98483,0,0.90879,tar,P2,NaN
0.60729,0,1.1791,tar,P2,NaN
-0.20982,0,1.4557,tar,P1,NaN
-0.712720000000001,0,1.0965,tar,P1,NaN
-0.98649,0,1.487,tar,P1,NaN
-0.63769,0,1.8958,tar,P1,NaN
-0.50257,0,1.0764,tar,P1,NaN
-0.420510000000001,0,1.3671,tar,P1,NaN
-0.20385,0,1.0437,tar,P1,NaN
-0.75916,0,0.90087,tar,P1,NaN
-0.905850000000001,0,1.7906,tar,P1,NaN
-0.0712930000000001,0,1.8487,tar,P1,NaN
-0.45047,0,1.5777,tar,P1,NaN
-0.69309,0,0.34106,tar,P1,NaN
-1.0166,0,0.36998,tar,P1,NaN
-0.71056,0,-0.0946960000000005,tar,P1,NaN
-0.13663,0,-0.22582,tar,P1,NaN
-1.0275,0,-0.31181,tar,P1,NaN
-0.092253,0,-0.0236720000000001,tar,P1,NaN
-0.82588,0,-0.35674,tar,P1,NaN
-0.79443,0,0.090371,tar,P1,NaN
-0.47527,0,-0.0249930000000001,tar,P1,NaN
-0.26805,0,0.38535,tar,P1,NaN
-0.52035,0,0.46028,tar,P1,NaN
-0.96468,0,-0.94847,tar,P1,NaN
-1.0198,0,-1.5854,tar,P1,NaN
-0.29582,0,-1.2886,tar,P1,NaN
-0.48609,0,-1.4889,tar,P1,NaN
-0.61744,0,-0.74302,tar,P1,NaN
-0.27921,0,-0.74094,tar,P1,NaN
-0.54015,0,-1.1237,tar,P1,NaN
-1.0206,0,-1.3577,tar,P1,NaN
-0.68915,0,-1.3823,tar,P1,NaN
-0.7019,0,-1.6167,tar,P1,NaN
-0.23231,0,-1.0144,tar,P1,NaN
0.0869210000000001,0,-0.64364,tar,P1,NaN
0.43659,0,-1.2556,tar,P1,NaN
0.16385,0,-0.9123,tar,P1,NaN
0.79701,0,-1.0924,tar,P1,NaN
0.91298,0,-0.64597,tar,P1,NaN
1.0177,0,-0.96078,tar,P1,NaN
0.84769,0,-1.3298,tar,P1,NaN
0.14066,0,-1.1828,tar,P1,NaN
0.0896079999999999,0,-1.7033,tar,P1,NaN
0.13009,0,-1.4972,tar,P1,NaN
0.33921,0,-1.0579,tar,P1,NaN
0.47932,0,-0.050077,tar,P1,NaN
0.88949,0,-0.25405,tar,P1,NaN
0.6705,0,0.36306,tar,P1,NaN
0.3202,0,0.54695,tar,P1,NaN
0.45841,0,0.29591,tar,P1,NaN
0.23541,0,0.19599,tar,P1,NaN
0.90312,0,0.52274,tar,P1,NaN
0.090902,0,-0.071955,tar,P1,NaN
