X,Y,Z,Prefab,Rotation,Projector,ID,Filler
-0.4031,0,1.2032,C80,319,P3,2001,NaN
-0.511519999999999,0,1.3647,C80,195,P3,2002,NaN
-0.0966420000000001,0,1.4574,C80,30,P3,2003,NaN
-0.22245,0,0.98158,C80,24,P3,2004,NaN
-0.46224,0,0.8192,C80,308,P3,2005,NaN
-0.78617,0,1.3544,C80,137,P3,2006,NaN
-0.23708,0,1.5906,C80,45,P3,2007,NaN
-0.878210000000001,0,1.0165,C80,45,P3,2008,NaN
-0.22913,0,1.1486,C80,287,P3,2009,NaN
-0.90612,0,1.4769,O,207,P3,3001,NaN
-0.924290000000001,0,1.1855,O,286,P3,3002,NaN
-0.55908,0,1.6497,O,265,P3,3003,NaN
-0.77422,0,-0.23602,C80,305,P3,2010,NaN
-0.0909969999999999,0,0.20402,C80,126,P3,2011,NaN
-0.80873,0,0.3065,C80,238,P3,2012,NaN
-0.44132,0,-0.62896,C80,237,P3,2013,NaN
-0.43936,0,0.30856,C80,4,P3,2014,NaN
-0.37239,0,-0.14685,C80,38,P3,2015,NaN
-0.17874,0,-0.0604370000000001,C80,239,P3,2016,NaN
-0.24279,0,-0.32619,C80,49,P3,2017,NaN
-0.5634,0,-0.44193,C80,124,P3,2018,NaN
-0.69647,0,-0.04235,O,102,P3,3004,NaN
-0.65314,0,0.12129,O,276,P3,3005,NaN
-0.83758,0,0.14896,O,294,P3,3006,NaN
-0.98592,0,-1.6935,C80,246,P3,2019,NaN
-0.50861,0,-1.2973,C80,342,P3,2020,NaN
-0.87892,0,-1.4724,C80,298,P3,2021,NaN
-0.24978,0,-0.83213,C80,281,P3,2022,NaN
-0.98001,0,-1.8595,C80,156,P3,2023,NaN
-0.8484,0,-1.3071,C80,324,P3,2024,NaN
-0.71581,0,-1.8429,C80,317,P3,2025,NaN
-0.39546,0,-1.1964,C80,34,P3,2026,NaN
-0.18988,0,-1.6407,C80,205,P3,2027,NaN
-0.14176,0,-1.3073,O,254,P3,3007,NaN
-0.74551,0,-1.5439,O,81,P3,3008,NaN
-0.0946459999999997,0,-1.0114,O,28,P3,3009,NaN
0.89278,0,-0.86097,C80,253,P3,2028,NaN
0.42919,0,-0.99002,C80,124,P3,2029,NaN
0.57656,0,-0.83023,C80,333,P3,2030,NaN
0.9198,0,-1.5609,C80,17,P3,2031,NaN
0.75248,0,-1.0628,C80,11,P3,2032,NaN
0.742350000000001,0,-1.699,C80,247,P3,2033,NaN
0.49934,0,-1.6704,C80,210,P3,2034,NaN
0.32858,0,-1.4216,C80,348,P3,2035,NaN
0.16519,0,-1.6681,C80,191,P3,2036,NaN
0.26769,0,-0.95258,O,337,P3,3010,NaN
1.0022,0,-1.0103,O,21,P3,3011,NaN
0.12503,0,-1.1047,O,50,P3,3012,NaN
0.19237,0,-0.25556,C80,193,P3,2037,NaN
0.80325,0,0.0496760000000003,C80,76,P3,2038,NaN
0.50618,0,0.25208,C80,241,P3,2039,NaN
0.46601,0,0.44549,C80,34,P3,2040,NaN
0.21415,0,-0.62084,C80,39,P3,2041,NaN
0.63024,0,-0.14596,C80,99,P3,2042,NaN
0.66421,0,0.39652,C80,201,P3,2043,NaN
0.93869,0,-0.35039,C80,128,P3,2044,NaN
0.74546,0,-0.28826,C80,319,P3,2045,NaN
1.0178,0,-0.0283609999999998,O,324,P3,3013,NaN
0.77687,0,0.20512,O,298,P3,3014,NaN
0.82352,0,-0.11282,O,20,P3,3015,NaN
0.3121,0,1.3333,C80,287,P3,2046,NaN
0.97648,0,1.2573,C80,312,P3,2047,NaN
0.5745,0,1.2838,C80,306,P3,2048,NaN
0.7385,0,0.79369,C80,47,P3,2049,NaN
0.48695,0,0.79766,C80,60,P3,2050,NaN
0.78039,0,1.6618,C80,178,P3,2051,NaN
0.56946,0,1.0597,C80,160,P3,2052,NaN
0.80055,0,1.4993,C80,307,P3,2053,NaN
0.34251,0,1.5607,C80,250,P3,2054,NaN
0.64484,0,0.9266,O,152,P3,3016,NaN
0.95835,0,1.7068,O,284,P3,3017,NaN
0.9389,0,0.67963,O,19,P3,3018,NaN
-0.6136,0,0.96378,C80,151,P2,2055,NaN
-0.85872,0,1.4422,C80,213,P2,2056,NaN
-0.3766,0,1.5263,C80,273,P2,2057,NaN
-0.773179999999999,0,1.5772,C80,334,P2,2058,NaN
-0.95423,0,1.691,C80,28,P2,2059,NaN
-0.15026,0,1.6222,C80,144,P2,2060,NaN
-0.808770000000001,0,1.7945,C80,259,P2,2061,NaN
