Trial_Number,File,Mirror,File_Name
1,,,Free_Walk
2,,,Free_Walk
3,,,Free_Walk
4,,,Free_Walk
5,,,Free_Walk
6,,,Free_Walk
7,,,Free_Walk
8,,,Free_Walk
9,,,Free_Walk
10,,,Free_Walk
11,,,Free_Walk
12,,,Free_Walk
13,,,Free_Walk
14,,,Free_Walk
15,,,Free_Walk
16,,,Free_Walk
17,,,Free_Walk
18,,,Free_Walk
19,,,Free_Walk
20,,,Free_Walk
21,,,Free_Walk
22,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
23,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
24,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
25,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
26,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
27,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
28,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
29,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
30,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
31,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
32,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
33,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
34,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
35,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
36,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
37,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
38,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
39,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
40,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
41,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
42,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
43,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
44,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
45,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
46,configuration_5_Bio_4.csv,mirrored_configuration_5_Bio_4.csv,
47,configuration_4_Bio_4.csv,mirrored_configuration_4_Bio_4.csv,
48,configuration_3_Bio_4.csv,mirrored_configuration_3_Bio_4.csv,
49,configuration_2_Bio_4.csv,mirrored_configuration_2_Bio_4.csv,
50,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
51,configuration_1_Bio_4.csv,mirrored_configuration_1_Bio_4.csv,
52,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
53,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
54,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
55,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
56,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
57,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
58,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
59,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
60,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
61,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
62,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
63,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
64,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
65,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
66,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
67,configuration_4_Bio_3.csv,mirrored_configuration_4_Bio_3.csv,
68,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
69,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
70,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
71,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
72,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
73,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
74,configuration_1_Bio_3.csv,mirrored_configuration_1_Bio_3.csv,
75,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
76,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
77,configuration_2_Bio_3.csv,mirrored_configuration_2_Bio_3.csv,
78,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
79,configuration_5_Bio_3.csv,mirrored_configuration_5_Bio_3.csv,
80,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
81,configuration_3_Bio_3.csv,mirrored_configuration_3_Bio_3.csv,
