Trial_Number,File,Mirror
1,Calibration,Calibration
2,Frisbee,Frisbee
3,configuration_1_Bio_1,mirrored_configuration_1_Bio_1
4,configuration_3_Bio_1,mirrored_configuration_3_Bio_1
5,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
6,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
7,configuration_5_Bio_3,mirrored_configuration_5_Bio_3
8,configuration_2_Bio_3,mirrored_configuration_2_Bio_3
9,configuration_2_Bio_4,mirrored_configuration_2_Bio_4
10,configuration_1_Bio_4,mirrored_configuration_1_Bio_4
11,configuration_2_Bio_5,mirrored_configuration_2_Bio_5
12,configuration_5_Bio_5,mirrored_configuration_5_Bio_5
