Trial_Number,File,Mirror
1,Calibration,Calibration
2,Frisbee,Frisbee
3,configuration_1_Bio_1,mirrored_configuration_1_Bio_1
4,configuration_3_Bio_1,mirrored_configuration_3_Bio_1
5,configuration_1_Bio_1,mirrored_configuration_1_Bio_1
6,configuration_4_Bio_1,mirrored_configuration_4_Bio_1
7,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
8,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
9,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
10,configuration_2_Bio_2,mirrored_configuration_2_Bio_2
11,configuration_5_Bio_3,mirrored_configuration_5_Bio_3
12,configuration_2_Bio_3,mirrored_configuration_2_Bio_3
13,configuration_5_Bio_3,mirrored_configuration_5_Bio_3
14,configuration_2_Bio_3,mirrored_configuration_2_Bio_3
15,configuration_2_Bio_4,mirrored_configuration_2_Bio_4
16,configuration_1_Bio_4,mirrored_configuration_1_Bio_4
17,configuration_2_Bio_4,mirrored_configuration_2_Bio_4
18,configuration_1_Bio_4,mirrored_configuration_1_Bio_4
19,configuration_2_Bio_5,mirrored_configuration_2_Bio_5
20,configuration_5_Bio_5,mirrored_configuration_5_Bio_5
21,configuration_2_Bio_5,mirrored_configuration_2_Bio_5
22,configuration_5_Bio_5,mirrored_configuration_5_Bio_5
